Categories,Total,All Years
Electrical engineering/Computer technology,112,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 19, 7, 2, 4, 11, 6, 22, 13, 21, 3]"
Mechanical engineering/Other special machines,93,"[0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 9, 8, 4, 4, 11, 11, 18, 15, 9, 1]"
Electrical engineering/IT methods for management,77,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 2, 4, 7, 8, 15, 4, 22, 2]"
Instruments/Control,27,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 2, 1, 0, 0, 4, 6, 3, 7, 0]"
Instruments/Measurement,25,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 4, 0, 1, 2, 1, 5, 4, 4, 0]"
Instruments/Analysis of biological materials,13,"[0, 0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 4, 0]"
Electrical engineering/Digital communication,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 4, 3, 0]"
Chemistry/Biotechnology,11,"[1, 0, 1, 0, 0, 0, 0, 1, 2, 1, 2, 0, 0, 0, 0, 0, 0, 2, 1, 0]"
Chemistry/Chemical engineering,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 3, 1, 0]"
Electrical engineering/Audio-visual technology,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 2, 1]"
Chemistry/Basic materials chemistry ,6,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
Mechanical engineering/Transport,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 0, 0, 1, 0, 0]"
"Electrical engineering/Electrical machinery, apparatus, energy",5,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0]"
Mechanical engineering/Handling,4,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]"
Mechanical engineering/Mechanical elements,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0]"
Electrical engineering/Telecommunications,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0]"
Chemistry/Organic fine chemistry,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Chemistry/Food chemistry,2,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Mechanical engineering/Thermal processes and apparatus,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Instruments/Medical technology,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Instruments/Optics,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
"Mechanical engineering/Engines, pumps, turbines",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Chemistry/Environmental technology,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
