Categories,Total,All Years
Electrical engineering/Computer technology,72,"[4, 3, 12, 10, 13, 22, 7, 1]"
Electrical engineering/Digital communication,34,"[2, 2, 2, 6, 10, 12, 0, 0]"
Electrical engineering/IT methods for management,20,"[4, 0, 2, 4, 2, 4, 3, 1]"
Instruments/Control,10,"[0, 0, 2, 1, 0, 6, 1, 0]"
Instruments/Medical technology,7,"[0, 0, 2, 2, 1, 1, 1, 0]"
Other fields/Other consumer goods,5,"[0, 0, 0, 0, 0, 5, 0, 0]"
Mechanical engineering/Other special machines,5,"[0, 0, 3, 2, 0, 0, 0, 0]"
Mechanical engineering/Handling,4,"[0, 0, 2, 0, 0, 2, 0, 0]"
Mechanical engineering/Transport,4,"[0, 0, 0, 0, 0, 4, 0, 0]"
Electrical engineering/Audio-visual technology,4,"[0, 1, 0, 0, 0, 3, 0, 0]"
"Other fields/Furniture, games",3,"[0, 0, 2, 1, 0, 0, 0, 0]"
Instruments/Measurement,3,"[0, 0, 1, 2, 0, 0, 0, 0]"
Instruments/Optics,3,"[0, 0, 1, 2, 0, 0, 0, 0]"
Electrical engineering/Telecommunications,3,"[0, 0, 0, 0, 0, 3, 0, 0]"
Chemistry/Chemical engineering,2,"[0, 0, 0, 0, 2, 0, 0, 0]"
Mechanical engineering/Thermal processes and apparatus,1,"[0, 0, 0, 1, 0, 0, 0, 0]"
"Electrical engineering/Electrical machinery, apparatus, energy",1,"[0, 0, 1, 0, 0, 0, 0, 0]"
