Categories,Total,All Years
Mechanical engineering/Other special machines,128,"[0, 1, 2, 0, 0, 0, 0, 2, 8, 15, 5, 15, 40, 24, 10, 6, 0]"
Instruments/Measurement,107,"[1, 0, 0, 1, 0, 2, 0, 2, 7, 6, 15, 12, 13, 17, 17, 13, 1]"
Electrical engineering/Computer technology,90,"[0, 0, 0, 0, 0, 1, 0, 0, 5, 0, 3, 15, 20, 19, 9, 15, 3]"
Electrical engineering/IT methods for management,88,"[0, 1, 0, 0, 3, 0, 1, 1, 3, 2, 7, 10, 28, 16, 8, 6, 2]"
Instruments/Control,66,"[0, 0, 0, 0, 1, 2, 4, 6, 9, 2, 5, 7, 12, 7, 7, 4, 0]"
Instruments/Analysis of biological materials,43,"[0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 0, 9, 8, 10, 10, 0, 0]"
Electrical engineering/Audio-visual technology,38,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 5, 3, 4, 6, 9, 6, 2, 0]"
Mechanical engineering/Transport,31,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 5, 5, 12, 3, 3, 0, 0]"
Electrical engineering/Telecommunications,26,"[0, 0, 0, 0, 0, 0, 1, 0, 4, 5, 1, 4, 3, 1, 4, 3, 0]"
Electrical engineering/Digital communication,25,"[0, 0, 0, 0, 3, 0, 2, 0, 3, 3, 1, 0, 2, 3, 6, 2, 0]"
Mechanical engineering/Mechanical elements,22,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11, 2, 4, 0]"
Chemistry/Chemical engineering,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 3, 0, 0]"
"Electrical engineering/Electrical machinery, apparatus, energy",7,"[0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]"
Chemistry/Basic materials chemistry ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 0, 0]"
Instruments/Optics,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 0, 0]"
Mechanical engineering/Handling,5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 1, 0]"
Electrical engineering/Basic communication processes,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
Chemistry/Food chemistry,2,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Chemistry/Environmental technology,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
Other fields/Civil engineering,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
Chemistry/Biotechnology,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Mechanical engineering/Machine tools,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
