Categories,Total,All Years
Mechanical engineering/Transport,634,"[0, 0, 0, 1, 1, 0, 3, 3, 2, 3, 7, 18, 34, 51, 79, 182, 129, 121]"
"Electrical engineering/Electrical machinery, apparatus, energy",470,"[0, 0, 1, 0, 0, 0, 0, 1, 1, 3, 8, 15, 30, 35, 38, 84, 98, 156]"
Instruments/Measurement,465,"[0, 0, 0, 0, 1, 0, 4, 0, 2, 2, 3, 16, 27, 29, 61, 80, 74, 166]"
Chemistry/Chemical engineering,437,"[0, 0, 0, 0, 1, 2, 1, 0, 1, 1, 0, 10, 17, 14, 15, 50, 37, 288]"
Mechanical engineering/Machine tools,424,"[0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 6, 9, 26, 16, 20, 37, 46, 260]"
Electrical engineering/Computer technology,391,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 11, 37, 41, 85, 81, 128]"
Other fields/Civil engineering,382,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 20, 12, 21, 63, 42, 214]"
Mechanical engineering/Other special machines,358,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7, 13, 17, 11, 22, 41, 36, 210]"
Mechanical engineering/Handling,356,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3, 18, 32, 20, 33, 54, 36, 157]"
Instruments/Medical technology,319,"[1, 0, 0, 0, 0, 2, 2, 0, 2, 1, 5, 8, 18, 24, 11, 51, 38, 156]"
Instruments/Control,259,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 7, 14, 21, 37, 57, 52, 68]"
Electrical engineering/Audio-visual technology,223,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 2, 8, 21, 29, 43, 69, 48]"
Mechanical engineering/Mechanical elements,218,"[0, 0, 0, 0, 0, 2, 1, 0, 3, 1, 1, 8, 13, 11, 20, 57, 29, 72]"
"Mechanical engineering/Engines, pumps, turbines",171,"[0, 0, 1, 2, 0, 0, 0, 0, 0, 3, 4, 8, 8, 12, 17, 27, 24, 65]"
Chemistry/Environmental technology,136,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 2, 9, 12, 20, 86]"
"Other fields/Furniture, games",130,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 6, 9, 6, 13, 27, 19, 47]"
Instruments/Optics,110,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 3, 0, 4, 10, 13, 11, 27, 23, 17]"
Electrical engineering/Semiconductors,110,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 12, 24, 24, 26, 13]"
Chemistry/Basic materials chemistry ,107,"[0, 0, 0, 0, 0, 2, 1, 0, 0, 1, 0, 3, 1, 2, 11, 19, 20, 47]"
"Chemistry/Surface technology, coating",104,"[0, 0, 0, 0, 0, 2, 2, 0, 0, 1, 0, 4, 4, 8, 2, 11, 16, 54]"
Electrical engineering/Digital communication,97,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 8, 9, 32, 17, 25]"
"Chemistry/Materials, metallurgy",95,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 3, 3, 4, 12, 23, 47]"
Electrical engineering/IT methods for management,85,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 6, 20, 22, 28]"
Other fields/Other consumer goods,85,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 10, 6, 7, 21, 7, 29]"
Mechanical engineering/Textile and paper machines,74,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 7, 9, 5, 10, 10, 30]"
Mechanical engineering/Thermal processes and apparatus,69,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 6, 2, 8, 13, 8, 27]"
Chemistry/Biotechnology,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 3, 6, 15, 6, 30]"
Chemistry/Pharmaceuticals,59,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 2, 5, 12, 8, 27]"
"Chemistry/Macromolecular chemistry, polymers",59,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 2, 11, 10, 31]"
Electrical engineering/Telecommunications,56,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 5, 9, 18, 9, 8]"
Chemistry/Organic fine chemistry,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 5, 7, 8, 13]"
Electrical engineering/Basic communication processes,36,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 6, 7, 12, 7]"
Instruments/Analysis of biological materials,33,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 4, 5, 8, 12]"
Chemistry/Food chemistry,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 5, 1, 18]"
Chemistry/Micro-structural and nano-technology,23,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 1, 5, 11]"
