Categories,Total,All Years
Mechanical engineering/Other special machines,255,"[1, 1, 1, 1, 1, 5, 17, 8, 30, 37, 53, 42, 39, 18, 1]"
"Electrical engineering/Electrical machinery, apparatus, energy",18,"[0, 0, 0, 0, 0, 0, 7, 0, 3, 0, 2, 3, 3, 0, 0]"
Mechanical engineering/Handling,13,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 4, 3, 1, 0]"
Other fields/Civil engineering,11,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 4, 4, 1, 0, 0]"
Mechanical engineering/Thermal processes and apparatus,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 1, 0]"
Electrical engineering/Audio-visual technology,6,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 0]"
Instruments/Measurement,6,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 2, 0, 0]"
Chemistry/Chemical engineering,5,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
Chemistry/Environmental technology,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0]"
Chemistry/Basic materials chemistry ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0]"
Other fields/Other consumer goods,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
Electrical engineering/IT methods for management,2,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
"Mechanical engineering/Engines, pumps, turbines",2,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
Electrical engineering/Digital communication,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
Instruments/Optics,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Mechanical engineering/Mechanical elements,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Electrical engineering/Computer technology,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
"Chemistry/Materials, metallurgy",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Chemistry/Food chemistry,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
Instruments/Control,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
