Categories,Total,All Years
Mechanical engineering/Handling,12,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1, 6, 0]"
Mechanical engineering/Transport,10,"[0, 0, 3, 0, 1, 0, 1, 0, 2, 0, 0, 2, 1]"
Mechanical engineering/Machine tools,5,"[0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
Other fields/Civil engineering,4,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0]"
"Other fields/Furniture, games",3,"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
"Electrical engineering/Electrical machinery, apparatus, energy",2,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
Mechanical engineering/Mechanical elements,2,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
Chemistry/Chemical engineering,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"Chemistry/Surface technology, coating",1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Mechanical engineering/Other special machines,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
