Categories,Total,All Years
Instruments/Measurement,6,"[0, 0, 0, 0, 0, 6, 0]"
Mechanical engineering/Handling,4,"[0, 0, 0, 4, 0, 0, 0]"
Electrical engineering/IT methods for management,3,"[0, 0, 0, 0, 0, 3, 0]"
Mechanical engineering/Machine tools,2,"[0, 0, 1, 0, 0, 0, 1]"
Mechanical engineering/Transport,2,"[0, 1, 1, 0, 0, 0, 0]"
"Chemistry/Surface technology, coating",1,"[0, 0, 0, 0, 1, 0, 0]"
Electrical engineering/Audio-visual technology,1,"[0, 0, 0, 0, 0, 1, 0]"
Electrical engineering/Computer technology,1,"[1, 0, 0, 0, 0, 0, 0]"
Electrical engineering/Telecommunications,1,"[0, 0, 0, 0, 0, 1, 0]"
Other fields/Civil engineering,1,"[0, 0, 0, 0, 0, 1, 0]"
