Categories,Total,All Years
Mechanical engineering/Transport,15,"[1, 0, 1, 1, 1, 0, 3, 2, 4, 2, 0, 0]"
"Electrical engineering/Electrical machinery, apparatus, energy",8,"[0, 0, 0, 0, 0, 0, 3, 3, 0, 2, 0, 0]"
"Chemistry/Surface technology, coating",3,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0]"
Electrical engineering/Computer technology,3,"[0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0]"
Instruments/Measurement,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1]"
Instruments/Optics,3,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
Mechanical engineering/Machine tools,3,"[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Mechanical engineering/Other special machines,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
"Chemistry/Materials, metallurgy",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
Electrical engineering/IT methods for management,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
Mechanical engineering/Mechanical elements,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
