Categories,Total,All Years
Mechanical engineering/Transport,3412,"[1, 1, 3, 3, 2, 2, 5, 33, 101, 147, 192, 331, 1009, 1101, 481]"
"Electrical engineering/Electrical machinery, apparatus, energy",1815,"[0, 0, 3, 3, 1, 0, 3, 23, 64, 83, 112, 196, 533, 580, 214]"
Electrical engineering/IT methods for management,479,"[0, 0, 0, 0, 1, 1, 0, 2, 1, 9, 23, 32, 134, 159, 117]"
Instruments/Measurement,421,"[0, 1, 0, 1, 0, 0, 0, 3, 13, 15, 23, 43, 113, 126, 83]"
Electrical engineering/Computer technology,356,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 8, 25, 29, 57, 116, 118]"
Mechanical engineering/Mechanical elements,183,"[0, 0, 0, 0, 0, 0, 0, 1, 8, 8, 8, 16, 66, 57, 19]"
Instruments/Control,177,"[0, 0, 0, 1, 0, 0, 1, 4, 1, 6, 8, 19, 57, 49, 31]"
Electrical engineering/Audio-visual technology,107,"[0, 0, 0, 0, 0, 1, 1, 4, 3, 5, 10, 8, 29, 39, 7]"
Electrical engineering/Digital communication,104,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 10, 7, 36, 40, 6]"
Chemistry/Environmental technology,102,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4, 41, 37, 18]"
Mechanical engineering/Handling,81,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 0, 7, 27, 27, 15]"
Other fields/Civil engineering,77,"[0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 2, 2, 40, 23, 5]"
"Mechanical engineering/Engines, pumps, turbines",74,"[1, 0, 0, 1, 0, 0, 0, 1, 3, 2, 2, 13, 24, 21, 6]"
Mechanical engineering/Machine tools,51,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 7, 10, 14, 16]"
Mechanical engineering/Thermal processes and apparatus,42,"[0, 0, 0, 0, 0, 0, 0, 2, 1, 3, 0, 4, 22, 7, 3]"
Chemistry/Chemical engineering,41,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 6, 20, 11]"
Electrical engineering/Semiconductors,36,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 6, 24, 2]"
Chemistry/Basic materials chemistry ,33,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 3, 21, 4, 2]"
Electrical engineering/Basic communication processes,32,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 26, 3]"
Electrical engineering/Telecommunications,19,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 3, 3, 7, 3]"
"Chemistry/Surface technology, coating",19,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 11, 3, 3]"
Mechanical engineering/Other special machines,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 3]"
Other fields/Other consumer goods,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 3, 6, 4]"
"Chemistry/Materials, metallurgy",15,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 9, 0, 4]"
"Chemistry/Macromolecular chemistry, polymers",15,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 6, 0]"
"Other fields/Furniture, games",7,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 2, 1]"
Instruments/Medical technology,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 0]"
Instruments/Optics,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
Mechanical engineering/Textile and paper machines,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Chemistry/Organic fine chemistry,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Instruments/Analysis of biological materials,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
