Categories,Total,All Years
"Other fields/Furniture, games",590,"[0, 0, 1, 3, 1, 7, 15, 131, 53, 249, 57, 73]"
Electrical engineering/Computer technology,554,"[0, 1, 0, 0, 1, 8, 13, 43, 80, 79, 82, 247]"
Mechanical engineering/Machine tools,476,"[0, 0, 1, 0, 5, 23, 32, 18, 41, 73, 59, 224]"
Instruments/Measurement,414,"[1, 0, 0, 0, 10, 27, 24, 25, 49, 56, 62, 160]"
"Electrical engineering/Electrical machinery, apparatus, energy",361,"[0, 1, 0, 2, 9, 16, 20, 19, 34, 62, 55, 143]"
Other fields/Civil engineering,342,"[0, 0, 0, 0, 4, 13, 20, 9, 26, 64, 32, 174]"
Mechanical engineering/Other special machines,318,"[0, 0, 0, 1, 6, 11, 9, 6, 20, 58, 50, 157]"
"Chemistry/Materials, metallurgy",276,"[0, 0, 0, 1, 1, 7, 8, 9, 17, 50, 39, 144]"
Chemistry/Chemical engineering,252,"[0, 0, 0, 4, 2, 7, 9, 6, 13, 59, 26, 126]"
Mechanical engineering/Handling,229,"[0, 0, 0, 2, 2, 12, 19, 13, 26, 23, 23, 109]"
Chemistry/Basic materials chemistry ,219,"[0, 0, 0, 0, 4, 1, 5, 5, 16, 49, 30, 109]"
Electrical engineering/Digital communication,216,"[0, 1, 4, 1, 1, 4, 8, 14, 27, 59, 38, 59]"
Mechanical engineering/Transport,202,"[0, 0, 0, 1, 4, 10, 16, 14, 21, 51, 18, 67]"
"Chemistry/Macromolecular chemistry, polymers",172,"[0, 0, 0, 0, 1, 0, 2, 4, 11, 52, 31, 71]"
Instruments/Medical technology,165,"[0, 0, 1, 2, 1, 3, 10, 5, 15, 36, 27, 65]"
Instruments/Control,145,"[0, 0, 0, 0, 4, 6, 5, 5, 16, 34, 22, 53]"
Mechanical engineering/Mechanical elements,140,"[1, 0, 0, 2, 2, 8, 14, 7, 11, 23, 14, 58]"
"Chemistry/Surface technology, coating",128,"[0, 0, 0, 0, 3, 3, 5, 1, 12, 34, 20, 50]"
Electrical engineering/IT methods for management,126,"[0, 0, 0, 0, 0, 1, 3, 8, 9, 13, 19, 73]"
Electrical engineering/Audio-visual technology,113,"[0, 0, 0, 1, 0, 4, 3, 3, 15, 26, 14, 47]"
Chemistry/Environmental technology,108,"[0, 0, 0, 3, 2, 4, 7, 3, 5, 24, 11, 49]"
Chemistry/Food chemistry,104,"[0, 0, 0, 0, 0, 1, 2, 7, 5, 26, 14, 49]"
Mechanical engineering/Textile and paper machines,101,"[0, 0, 0, 0, 0, 3, 10, 9, 3, 25, 14, 37]"
Electrical engineering/Telecommunications,96,"[1, 1, 2, 0, 2, 4, 5, 8, 7, 22, 13, 31]"
Chemistry/Biotechnology,87,"[0, 0, 0, 0, 0, 3, 1, 10, 6, 16, 16, 35]"
Other fields/Other consumer goods,85,"[0, 0, 0, 0, 1, 5, 7, 1, 9, 15, 12, 35]"
"Mechanical engineering/Engines, pumps, turbines",81,"[0, 0, 0, 0, 1, 7, 5, 4, 6, 17, 5, 36]"
Chemistry/Organic fine chemistry,72,"[0, 0, 0, 0, 2, 0, 1, 7, 9, 15, 10, 28]"
Instruments/Optics,62,"[0, 0, 0, 0, 0, 5, 2, 6, 6, 16, 11, 16]"
Mechanical engineering/Thermal processes and apparatus,61,"[0, 0, 0, 1, 0, 6, 6, 3, 5, 8, 11, 21]"
Chemistry/Pharmaceuticals,52,"[0, 0, 0, 0, 0, 1, 1, 2, 4, 9, 16, 19]"
Electrical engineering/Semiconductors,49,"[0, 0, 0, 0, 2, 4, 0, 2, 3, 10, 3, 25]"
Instruments/Analysis of biological materials,36,"[0, 0, 0, 0, 0, 0, 2, 0, 3, 3, 4, 24]"
Chemistry/Micro-structural and nano-technology,17,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 4, 0, 11]"
Electrical engineering/Basic communication processes,11,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 3, 4]"
