Categories,Total,All Years
Mechanical engineering/Transport,792,"[0, 0, 2, 7, 1, 0, 0, 1, 0, 0, 1, 1, 7, 1, 7, 4, 3, 4, 7, 8, 11, 7, 5, 10, 15, 22, 38, 25, 38, 50, 38, 41, 88, 70, 63, 43, 46, 56, 28, 25, 18, 1]"
Other fields/Civil engineering,135,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 3, 0, 0, 2, 2, 8, 5, 4, 6, 7, 10, 3, 12, 14, 13, 17, 11, 7, 3, 3, 2, 1]"
"Electrical engineering/Electrical machinery, apparatus, energy",112,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 2, 0, 4, 0, 9, 7, 11, 9, 11, 19, 3, 22, 5, 5, 0, 0]"
Mechanical engineering/Handling,85,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 1, 4, 3, 2, 3, 8, 2, 9, 15, 5, 6, 6, 4, 4, 5, 5, 0, 0]"
Electrical engineering/Audio-visual technology,60,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1, 4, 3, 2, 0, 4, 1, 2, 8, 6, 3, 3, 7, 2, 7, 2, 0]"
"Other fields/Furniture, games",55,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 2, 0, 0, 0, 4, 0, 0, 2, 1, 5, 0, 4, 3, 8, 5, 3, 5, 4, 1, 2, 1, 0, 1, 0]"
Other fields/Other consumer goods,44,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 5, 1, 1, 6, 4, 0, 1, 6, 6, 1, 1, 1, 0, 3, 1, 0]"
Mechanical engineering/Other special machines,31,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 0, 1, 1, 0, 1, 1, 7, 5, 1, 0, 1, 2, 3, 2, 0]"
Instruments/Medical technology,31,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 3, 4, 3, 2, 2, 3, 1, 2, 3, 2, 3, 0, 0, 0, 0]"
Electrical engineering/Telecommunications,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1, 1, 0, 0, 2, 4, 5, 6, 1, 3, 0, 0, 0, 0]"
