Categories,Total,All Years
"Electrical engineering/Electrical machinery, apparatus, energy",3342,"[0, 1, 2, 3, 6, 25, 120, 458, 900, 980, 770, 77]"
Mechanical engineering/Transport,1305,"[1, 0, 1, 0, 5, 13, 50, 259, 338, 367, 236, 35]"
Instruments/Measurement,419,"[0, 0, 0, 0, 0, 0, 8, 78, 114, 97, 105, 17]"
Mechanical engineering/Mechanical elements,375,"[0, 0, 1, 0, 2, 0, 17, 77, 106, 105, 59, 8]"
"Mechanical engineering/Engines, pumps, turbines",257,"[0, 0, 1, 0, 1, 2, 5, 26, 87, 77, 52, 6]"
"Chemistry/Surface technology, coating",212,"[0, 0, 0, 0, 1, 1, 18, 15, 57, 56, 55, 9]"
"Chemistry/Materials, metallurgy",188,"[0, 0, 0, 0, 0, 5, 4, 43, 47, 47, 37, 5]"
Chemistry/Environmental technology,177,"[0, 0, 0, 0, 0, 2, 5, 18, 48, 48, 52, 4]"
Electrical engineering/Computer technology,135,"[0, 0, 0, 0, 0, 0, 0, 4, 32, 33, 55, 11]"
Chemistry/Chemical engineering,133,"[0, 0, 0, 0, 0, 0, 10, 27, 27, 35, 30, 4]"
Mechanical engineering/Machine tools,122,"[0, 0, 0, 0, 0, 0, 2, 16, 29, 42, 28, 5]"
Mechanical engineering/Handling,113,"[0, 0, 0, 0, 0, 0, 4, 19, 13, 44, 30, 3]"
Electrical engineering/IT methods for management,103,"[0, 0, 0, 0, 0, 0, 0, 6, 16, 31, 40, 10]"
Mechanical engineering/Thermal processes and apparatus,102,"[0, 0, 0, 0, 0, 0, 5, 14, 25, 35, 22, 1]"
Instruments/Control,89,"[0, 0, 0, 0, 1, 0, 4, 18, 19, 29, 16, 2]"
Mechanical engineering/Other special machines,75,"[0, 0, 0, 0, 0, 0, 5, 8, 29, 16, 13, 4]"
Other fields/Civil engineering,48,"[0, 0, 0, 0, 0, 1, 5, 5, 13, 14, 9, 1]"
Electrical engineering/Audio-visual technology,43,"[0, 0, 0, 0, 0, 0, 0, 7, 9, 16, 9, 2]"
Chemistry/Micro-structural and nano-technology,35,"[0, 0, 0, 0, 0, 0, 1, 3, 8, 10, 11, 2]"
Instruments/Analysis of biological materials,30,"[0, 0, 0, 0, 0, 0, 0, 5, 10, 9, 6, 0]"
Chemistry/Basic materials chemistry ,29,"[0, 0, 0, 0, 0, 0, 1, 0, 7, 12, 9, 0]"
Electrical engineering/Digital communication,20,"[0, 0, 0, 0, 1, 1, 1, 4, 5, 5, 2, 1]"
"Chemistry/Macromolecular chemistry, polymers",19,"[0, 0, 0, 0, 0, 0, 0, 3, 5, 6, 3, 2]"
Other fields/Other consumer goods,17,"[0, 0, 0, 0, 0, 0, 0, 4, 3, 4, 4, 2]"
Mechanical engineering/Textile and paper machines,13,"[0, 0, 0, 0, 0, 0, 1, 1, 3, 4, 4, 0]"
Instruments/Medical technology,10,"[0, 0, 0, 0, 0, 0, 3, 0, 2, 4, 1, 0]"
Electrical engineering/Telecommunications,9,"[0, 0, 0, 0, 0, 1, 0, 2, 1, 3, 2, 0]"
Electrical engineering/Semiconductors,4,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0]"
Chemistry/Biotechnology,3,"[0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0]"
Chemistry/Organic fine chemistry,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
"Other fields/Furniture, games",3,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
Instruments/Optics,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Chemistry/Pharmaceuticals,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Chemistry/Food chemistry,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
