Categories,Total,All Years
Mechanical engineering/Transport,115,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 13, 32, 34, 18, 14, 2]"
Instruments/Control,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23, 15, 2, 5, 1]"
Electrical engineering/Digital communication,34,"[0, 0, 5, 8, 4, 0, 0, 4, 0, 1, 1, 0, 1, 4, 5, 0, 1, 0]"
Instruments/Measurement,27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 13, 4, 1, 1]"
"Electrical engineering/Electrical machinery, apparatus, energy",26,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 7, 10, 1, 0]"
Electrical engineering/IT methods for management,19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 10, 0, 1, 0]"
Electrical engineering/Computer technology,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 1, 1, 0]"
Instruments/Medical technology,11,"[1, 1, 1, 0, 0, 2, 2, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0]"
Electrical engineering/Telecommunications,9,"[0, 0, 1, 3, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Other fields/Civil engineering,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 0]"
Electrical engineering/Audio-visual technology,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
Instruments/Optics,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
Mechanical engineering/Mechanical elements,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
"Chemistry/Materials, metallurgy",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Electrical engineering/Semiconductors,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"Other fields/Furniture, games",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
