Categories,Total,All Years
Electrical engineering/Computer technology,83,"[1, 0, 0, 0, 3, 0, 3, 1, 6, 4, 8, 11, 16, 10, 12, 8]"
Electrical engineering/IT methods for management,21,"[0, 2, 1, 1, 0, 0, 0, 0, 1, 2, 4, 0, 7, 2, 1, 0]"
Electrical engineering/Digital communication,12,"[1, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 2, 1, 0, 0, 2]"
Electrical engineering/Audio-visual technology,3,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Instruments/Control,3,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
Mechanical engineering/Transport,3,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0]"
Instruments/Measurement,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Mechanical engineering/Other special machines,2,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
Chemistry/Biotechnology,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Chemistry/Organic fine chemistry,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Electrical engineering/Electrical machinery, apparatus, energy",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Mechanical engineering/Machine tools,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
