Categories,Total,All Years
Instruments/Measurement,128,"[1, 0, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 0, 5, 6, 1, 2, 2, 0, 0, 1, 0, 1, 11, 18, 15, 8, 1, 0, 2, 3, 4, 0, 0, 6, 6, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 2, 0, 1, 1, 3, 1, 0, 1, 0, 1]"
Mechanical engineering/Thermal processes and apparatus,84,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 25, 2, 1, 0, 4, 0, 0, 2, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 1, 0, 0, 5, 0, 0, 1, 1, 3, 1, 3, 2, 0, 4, 3, 0, 0, 1, 2, 5, 2, 2, 0]"
Instruments/Optics,68,"[0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 1, 2, 7, 2, 5, 21, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 5, 1, 0, 1, 0, 1, 3, 1, 2, 0, 1, 0, 0, 0, 0, 0, 1]"
Other fields/Civil engineering,61,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 6, 1, 1, 19, 0, 0, 2, 3, 0, 0, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 2, 1, 2, 0, 3, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1]"
"Chemistry/Surface technology, coating",59,"[0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 6, 2, 0, 0, 0, 1, 20, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 4, 2, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 3, 1, 3]"
"Other fields/Furniture, games",50,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 17, 0, 0, 0, 0, 0, 1, 10, 2, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 2, 0, 2]"
Mechanical engineering/Other special machines,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 1, 0, 0, 0, 1, 1, 3, 0, 1, 0, 0, 1, 0]"
"Chemistry/Materials, metallurgy",28,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 1]"
Instruments/Control,27,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Electrical engineering/Electrical machinery, apparatus, energy",27,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 3, 0, 3, 1, 5, 3, 0, 1, 0]"
