Categories,Total,All Years
Chemistry/Biotechnology,52,"[1, 2, 0, 0, 1, 2, 10, 2, 6, 16, 12, 0]"
Other fields/Other consumer goods,39,"[0, 0, 0, 1, 0, 0, 8, 2, 2, 12, 12, 2]"
Mechanical engineering/Other special machines,28,"[0, 0, 0, 0, 0, 0, 12, 1, 4, 4, 5, 2]"
Mechanical engineering/Textile and paper machines,15,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 10, 0]"
Chemistry/Chemical engineering,14,"[0, 0, 0, 1, 0, 0, 5, 1, 0, 0, 7, 0]"
"Chemistry/Macromolecular chemistry, polymers",8,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]"
Chemistry/Food chemistry,7,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 6, 0, 0]"
"Chemistry/Surface technology, coating",5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0]"
Chemistry/Basic materials chemistry ,2,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Chemistry/Environmental technology,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Chemistry/Pharmaceuticals,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Electrical engineering/Computer technology,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Instruments/Medical technology,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Mechanical engineering/Thermal processes and apparatus,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
