Categories,Total,All Years
Electrical engineering/Computer technology,61,"[1, 2, 7, 4, 14, 19, 5, 8, 1]"
Instruments/Medical technology,31,"[0, 0, 0, 3, 12, 4, 2, 9, 1]"
Electrical engineering/IT methods for management,26,"[1, 0, 1, 0, 9, 5, 5, 4, 1]"
Electrical engineering/Digital communication,17,"[0, 1, 0, 0, 2, 8, 2, 3, 1]"
"Other fields/Furniture, games",10,"[1, 0, 0, 0, 0, 0, 1, 8, 0]"
Instruments/Control,6,"[0, 0, 0, 0, 1, 3, 0, 2, 0]"
Electrical engineering/Telecommunications,3,"[0, 0, 0, 0, 0, 1, 1, 1, 0]"
"Electrical engineering/Electrical machinery, apparatus, energy",2,"[0, 0, 0, 0, 0, 0, 0, 2, 0]"
Chemistry/Pharmaceuticals,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
Instruments/Analysis of biological materials,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
Instruments/Measurement,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
Mechanical engineering/Other special machines,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
Other fields/Civil engineering,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
Other fields/Other consumer goods,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
