Categories,Total,All Years
Chemistry/Food chemistry,128,"[1, 1, 3, 3, 0, 3, 12, 5, 17, 15, 12, 11, 2, 6, 15, 16, 6]"
Chemistry/Pharmaceuticals,39,"[0, 0, 2, 0, 2, 0, 2, 4, 5, 3, 2, 6, 5, 3, 3, 1, 1]"
Other fields/Other consumer goods,32,"[0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 1, 7, 10, 0, 6, 1, 3]"
Chemistry/Basic materials chemistry ,17,"[0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 5, 0, 1, 5, 0, 1]"
Chemistry/Biotechnology,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 2, 1, 0, 6, 0]"
Mechanical engineering/Textile and paper machines,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 0, 0, 0, 0]"
Chemistry/Organic fine chemistry,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 1, 2, 0, 1, 0]"
Mechanical engineering/Other special machines,7,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 2, 0, 1, 1, 0, 0]"
Chemistry/Chemical engineering,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4, 0, 0, 0]"
Instruments/Analysis of biological materials,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]"
Instruments/Measurement,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]"
"Other fields/Furniture, games",3,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]"
Instruments/Medical technology,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
Mechanical engineering/Handling,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
