Categories,Total,All Years
Instruments/Medical technology,75,"[2, 2, 13, 9, 1, 2, 3, 3, 5, 3, 1, 4, 3, 4, 10, 3, 5, 1, 1]"
Instruments/Control,13,"[0, 0, 9, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Chemistry/Biotechnology,9,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 5, 0, 0, 0, 1, 1, 0]"
Chemistry/Pharmaceuticals,9,"[0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
Electrical engineering/Computer technology,9,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 2, 1, 0, 0, 1, 0, 0]"
Instruments/Analysis of biological materials,4,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0]"
Electrical engineering/IT methods for management,3,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Instruments/Measurement,3,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Chemistry/Food chemistry,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
Electrical engineering/Audio-visual technology,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Instruments/Optics,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
