Categories,Total,All Years
Chemistry/Pharmaceuticals,68,"[0, 1, 0, 2, 3, 9, 3, 6, 22, 15, 7]"
Chemistry/Organic fine chemistry,28,"[0, 0, 0, 0, 3, 1, 7, 4, 2, 10, 1]"
Chemistry/Biotechnology,8,"[3, 1, 2, 0, 0, 2, 0, 0, 0, 0, 0]"
Chemistry/Basic materials chemistry ,5,"[3, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
Chemistry/Food chemistry,5,"[0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1]"
Other fields/Other consumer goods,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1]"
Instruments/Medical technology,3,"[0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0]"
Mechanical engineering/Textile and paper machines,3,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Chemistry/Chemical engineering,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Chemistry/Micro-structural and nano-technology,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Instruments/Analysis of biological materials,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Instruments/Optics,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
