Categories,Total,All Years
Chemistry/Basic materials chemistry ,144,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 3, 0, 1, 5, 0, 1, 3, 0, 1, 3, 4, 2, 3, 20, 16, 11, 16, 4, 7, 8, 2, 14, 9, 6]"
Chemistry/Environmental technology,103,"[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 2, 0, 0, 6, 1, 0, 1, 2, 3, 1, 2, 6, 1, 2, 5, 8, 11, 8, 8, 10, 7, 9, 1, 1]"
"Chemistry/Macromolecular chemistry, polymers",88,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 2, 0, 2, 0, 3, 0, 1, 2, 2, 2, 6, 5, 2, 1, 5, 20, 0, 1, 6, 1, 14, 6, 3]"
Instruments/Optics,57,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 7, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 18, 1, 17, 0, 1, 0, 0, 0, 0, 6, 2, 0]"
"Chemistry/Materials, metallurgy",46,"[0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 1, 6, 1, 7, 1, 0, 5, 4, 2, 2, 0]"
Chemistry/Chemical engineering,41,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 3, 4, 3, 3, 2, 2, 12, 2, 0]"
Mechanical engineering/Other special machines,39,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1, 0, 0, 0, 2, 0, 1, 0, 2, 2, 4, 0, 1, 1, 1, 4, 2, 2, 5, 0, 3, 4, 0]"
Electrical engineering/Semiconductors,36,"[0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 1, 11, 0, 1, 2, 0, 0, 0, 5, 1, 0]"
"Electrical engineering/Electrical machinery, apparatus, energy",24,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 8, 0, 0, 2, 2, 1, 3, 0]"
"Chemistry/Surface technology, coating",22,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 1, 0, 2, 0, 2, 0, 0, 0, 1, 5, 2, 0, 0, 0, 4, 1, 0]"
