Categories,Total,All Years
Chemistry/Organic fine chemistry,88,"[1, 9, 2, 5, 0, 0, 2, 2, 2, 2, 2, 2, 3, 3, 0, 5, 18, 15, 1, 3, 1, 9, 1]"
Chemistry/Pharmaceuticals,26,"[1, 0, 1, 0, 1, 1, 0, 3, 1, 0, 0, 0, 2, 0, 0, 3, 9, 1, 1, 1, 0, 1, 0]"
"Chemistry/Macromolecular chemistry, polymers",15,"[0, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0]"
Chemistry/Basic materials chemistry ,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 3, 1, 0, 0, 0, 2, 1]"
Chemistry/Food chemistry,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 2, 1]"
Mechanical engineering/Textile and paper machines,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0]"
Chemistry/Chemical engineering,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Instruments/Medical technology,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Mechanical engineering/Handling,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Other fields/Other consumer goods,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
