Categories,Total,All Years
Electrical engineering/Computer technology,173,"[1, 0, 33, 116, 20, 3]"
Electrical engineering/IT methods for management,147,"[0, 0, 24, 91, 18, 14]"
Electrical engineering/Digital communication,28,"[0, 1, 5, 18, 4, 0]"
Instruments/Control,18,"[0, 0, 1, 10, 7, 0]"
Electrical engineering/Audio-visual technology,15,"[0, 0, 1, 5, 5, 4]"
Electrical engineering/Telecommunications,12,"[0, 0, 1, 8, 2, 1]"
Instruments/Medical technology,11,"[0, 0, 0, 3, 3, 5]"
"Other fields/Furniture, games",9,"[0, 0, 2, 6, 1, 0]"
Instruments/Optics,9,"[0, 0, 1, 7, 1, 0]"
"Electrical engineering/Electrical machinery, apparatus, energy",8,"[0, 0, 0, 1, 0, 7]"
Other fields/Civil engineering,7,"[0, 0, 0, 0, 3, 4]"
Mechanical engineering/Transport,7,"[0, 0, 1, 4, 2, 0]"
Chemistry/Environmental technology,4,"[0, 0, 1, 0, 3, 0]"
Mechanical engineering/Handling,3,"[0, 0, 0, 1, 2, 0]"
Chemistry/Chemical engineering,3,"[0, 0, 0, 0, 3, 0]"
Mechanical engineering/Mechanical elements,3,"[0, 0, 0, 0, 0, 3]"
Mechanical engineering/Other special machines,2,"[0, 0, 0, 2, 0, 0]"
Chemistry/Basic materials chemistry ,2,"[0, 0, 0, 0, 0, 2]"
Instruments/Measurement,2,"[0, 0, 1, 1, 0, 0]"
Other fields/Other consumer goods,2,"[0, 0, 0, 1, 1, 0]"
"Mechanical engineering/Engines, pumps, turbines",1,"[0, 0, 0, 0, 0, 1]"
Mechanical engineering/Textile and paper machines,1,"[0, 0, 0, 0, 1, 0]"
Chemistry/Organic fine chemistry,1,"[0, 0, 0, 0, 0, 1]"
"Chemistry/Materials, metallurgy",1,"[0, 0, 0, 0, 0, 1]"
Chemistry/Food chemistry,1,"[0, 0, 0, 0, 0, 1]"
