Categories,Total,All Years
Chemistry/Basic materials chemistry ,851,"[1, 1, 0, 0, 1, 2, 2, 1, 2, 2, 1, 2, 5, 1, 11, 1, 5, 9, 16, 4, 12, 21, 15, 15, 20, 26, 46, 71, 78, 98, 89, 86, 52, 45, 48, 33, 26, 3]"
Chemistry/Organic fine chemistry,244,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 4, 1, 0, 0, 0, 2, 0, 1, 2, 0, 4, 0, 7, 5, 14, 19, 18, 42, 30, 29, 11, 22, 12, 11, 4, 2]"
"Chemistry/Macromolecular chemistry, polymers",216,"[0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 5, 6, 7, 5, 3, 19, 13, 19, 28, 32, 17, 10, 16, 12, 3, 12, 1]"
"Other fields/Furniture, games",114,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 0, 6, 0, 0, 0, 2, 0, 0, 1, 1, 2, 3, 4, 10, 6, 7, 2, 1, 7, 10, 11, 7, 6, 8, 3, 0, 0]"
Chemistry/Chemical engineering,96,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 2, 3, 4, 2, 0, 5, 4, 7, 13, 13, 4, 6, 8, 10, 7, 5, 0]"
Mechanical engineering/Textile and paper machines,73,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 3, 3, 0, 3, 8, 5, 10, 9, 9, 8, 4, 3, 2, 0, 2, 0]"
Chemistry/Pharmaceuticals,66,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 3, 1, 1, 0, 0, 0, 2, 0, 7, 11, 5, 4, 12, 6, 1, 6, 3, 1, 0, 1]"
Mechanical engineering/Other special machines,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 3, 0, 3, 2, 4, 5, 4, 6, 5, 6, 0, 2, 4, 1]"
"Chemistry/Materials, metallurgy",43,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 2, 1, 1, 2, 1, 2, 7, 5, 7, 2, 4, 1, 4, 0, 1]"
Chemistry/Environmental technology,35,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 3, 0, 2, 3, 0, 1, 6, 0, 2, 3, 7, 3, 0, 0]"
"Chemistry/Surface technology, coating",34,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 2, 1, 1, 2, 8, 4, 1, 1, 6, 1, 3, 0, 0]"
Mechanical engineering/Machine tools,26,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 0, 0, 3, 0, 2, 2, 0, 1, 4, 1, 1, 3, 0, 2, 1, 0]"
Other fields/Other consumer goods,22,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 8, 0, 0, 4, 0, 2, 2, 2, 1, 0, 0, 0, 0, 0]"
Other fields/Civil engineering,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 1, 1, 0, 1, 2, 3, 2, 1, 2, 0, 0]"
Mechanical engineering/Handling,14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 5, 2, 0, 0]"
"Electrical engineering/Electrical machinery, apparatus, energy",13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 5, 2, 0, 0, 0, 0, 3, 0]"
Mechanical engineering/Mechanical elements,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 3, 0, 0, 1, 3, 0]"
Instruments/Medical technology,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0]"
Electrical engineering/Audio-visual technology,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0]"
Chemistry/Biotechnology,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0]"
Chemistry/Micro-structural and nano-technology,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
Mechanical engineering/Transport,5,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
Chemistry/Food chemistry,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0]"
Mechanical engineering/Thermal processes and apparatus,2,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
Instruments/Control,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Instruments/Measurement,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
