Categories,Total,All Years
Chemistry/Environmental technology,2278,"[0, 0, 1, 8, 4, 15, 20, 40, 152, 290, 368, 475, 366, 380, 118, 41]"
Chemistry/Chemical engineering,1848,"[0, 0, 1, 5, 2, 8, 21, 33, 103, 242, 361, 405, 296, 243, 95, 33]"
Other fields/Civil engineering,822,"[2, 0, 0, 1, 0, 4, 15, 4, 34, 128, 192, 190, 130, 77, 40, 5]"
Chemistry/Basic materials chemistry ,503,"[0, 0, 0, 0, 2, 2, 14, 24, 45, 76, 78, 75, 79, 66, 27, 15]"
Chemistry/Biotechnology,382,"[0, 0, 0, 0, 0, 1, 7, 8, 15, 35, 68, 106, 59, 54, 19, 10]"
Mechanical engineering/Other special machines,358,"[0, 0, 0, 1, 0, 1, 3, 16, 22, 47, 61, 64, 59, 55, 24, 5]"
"Other fields/Furniture, games",308,"[0, 1, 0, 0, 0, 1, 0, 2, 45, 65, 44, 51, 41, 35, 21, 2]"
Mechanical engineering/Handling,286,"[0, 0, 0, 0, 1, 1, 2, 3, 41, 31, 33, 56, 52, 50, 15, 1]"
Instruments/Medical technology,246,"[0, 0, 0, 0, 0, 0, 6, 1, 23, 49, 43, 56, 33, 23, 9, 3]"
Electrical engineering/IT methods for management,225,"[0, 0, 0, 0, 0, 0, 1, 3, 11, 29, 37, 38, 42, 44, 14, 6]"
Mechanical engineering/Machine tools,214,"[0, 0, 0, 1, 0, 0, 0, 1, 8, 30, 36, 59, 44, 23, 9, 3]"
Chemistry/Food chemistry,196,"[0, 0, 0, 0, 0, 1, 11, 5, 19, 18, 26, 29, 38, 34, 12, 3]"
Instruments/Measurement,153,"[0, 0, 0, 0, 0, 1, 7, 0, 7, 3, 26, 26, 29, 38, 13, 3]"
Electrical engineering/Computer technology,120,"[0, 0, 0, 0, 0, 0, 1, 0, 8, 15, 18, 20, 21, 23, 8, 6]"
"Electrical engineering/Electrical machinery, apparatus, energy",99,"[0, 0, 0, 0, 0, 0, 3, 3, 5, 15, 23, 28, 9, 7, 6, 0]"
Instruments/Control,86,"[0, 0, 0, 0, 0, 1, 2, 0, 5, 8, 25, 15, 6, 19, 3, 2]"
Mechanical engineering/Mechanical elements,78,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 27, 17, 7, 7, 4, 1]"
Other fields/Other consumer goods,73,"[0, 0, 0, 0, 0, 0, 2, 0, 1, 13, 11, 18, 17, 6, 3, 2]"
Mechanical engineering/Thermal processes and apparatus,71,"[0, 0, 0, 0, 0, 0, 0, 1, 2, 13, 11, 13, 13, 16, 1, 1]"
"Chemistry/Materials, metallurgy",52,"[0, 0, 0, 1, 0, 0, 0, 3, 2, 11, 5, 5, 12, 7, 4, 2]"
"Chemistry/Macromolecular chemistry, polymers",51,"[0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 6, 6, 3, 21, 2, 3]"
Mechanical engineering/Textile and paper machines,29,"[0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 8, 2, 3, 2, 0, 0]"
"Mechanical engineering/Engines, pumps, turbines",28,"[0, 0, 0, 1, 0, 0, 0, 0, 2, 3, 6, 4, 4, 5, 1, 2]"
Electrical engineering/Digital communication,26,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 6, 3, 5, 2, 8, 0, 0]"
Instruments/Analysis of biological materials,24,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 2, 2, 5, 9, 1]"
Chemistry/Organic fine chemistry,24,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 3, 5, 8, 4, 0]"
"Chemistry/Surface technology, coating",21,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 4, 7, 2, 1, 3, 2, 0]"
Mechanical engineering/Transport,19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 2, 4, 2, 1, 0]"
Chemistry/Pharmaceuticals,14,"[0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 0, 1, 5, 1, 0, 0]"
Electrical engineering/Telecommunications,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 3, 2, 2, 0, 0]"
Electrical engineering/Audio-visual technology,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 2, 1, 1, 0]"
Chemistry/Micro-structural and nano-technology,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 1]"
Electrical engineering/Semiconductors,5,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0]"
Electrical engineering/Basic communication processes,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
