Categories,Total,All Years
Mechanical engineering/Handling,419,"[2, 2, 2, 6, 1, 11, 5, 0, 1, 2, 3, 16, 0, 1, 0, 3, 1, 0, 3, 9, 17, 14, 3, 2, 6, 1, 3, 10, 15, 19, 32, 98, 31, 61, 22, 16, 1]"
"Chemistry/Surface technology, coating",247,"[0, 0, 0, 0, 1, 7, 2, 0, 1, 2, 3, 17, 2, 2, 0, 3, 3, 0, 2, 9, 23, 16, 5, 0, 7, 20, 1, 4, 15, 1, 12, 26, 13, 29, 16, 4, 1]"
Mechanical engineering/Textile and paper machines,173,"[0, 0, 0, 0, 1, 9, 1, 0, 0, 0, 3, 16, 0, 1, 1, 3, 1, 1, 2, 2, 4, 0, 0, 0, 3, 2, 0, 0, 5, 13, 22, 40, 9, 16, 12, 4, 2]"
"Chemistry/Macromolecular chemistry, polymers",143,"[0, 0, 2, 5, 3, 2, 11, 3, 1, 7, 3, 1, 2, 0, 0, 0, 0, 0, 0, 1, 2, 0, 2, 2, 4, 0, 3, 4, 2, 4, 4, 17, 9, 27, 11, 10, 1]"
Mechanical engineering/Other special machines,128,"[0, 0, 1, 0, 1, 1, 3, 0, 0, 2, 1, 1, 2, 0, 0, 0, 0, 0, 3, 4, 8, 1, 0, 0, 6, 8, 4, 6, 12, 3, 12, 9, 4, 20, 7, 9, 0]"
Chemistry/Basic materials chemistry ,72,"[0, 0, 0, 0, 2, 1, 10, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 12, 0, 1, 4, 0, 2, 0, 0, 4, 0, 1, 18, 5, 3, 1]"
Other fields/Other consumer goods,19,"[0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 0, 0, 0, 0, 1, 1, 1, 2, 0, 1, 0]"
Chemistry/Food chemistry,10,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 1, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0]"
Chemistry/Chemical engineering,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 6, 1, 0]"
Mechanical engineering/Machine tools,8,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Other fields/Furniture, games",7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 4, 0, 0, 0]"
Instruments/Medical technology,5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Chemistry/Pharmaceuticals,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0]"
Mechanical engineering/Transport,3,"[0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Chemistry/Environmental technology,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Instruments/Analysis of biological materials,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Instruments/Control,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Chemistry/Biotechnology,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Instruments/Optics,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Mechanical engineering/Thermal processes and apparatus,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Other fields/Civil engineering,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
