Categories,Total,All Years
Electrical engineering/Computer technology,35,"[0, 0, 0, 2, 2, 2, 0, 2, 17, 6, 1, 2, 1]"
Electrical engineering/Telecommunications,12,"[2, 6, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
Electrical engineering/Digital communication,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 0, 0]"
Electrical engineering/Audio-visual technology,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 0]"
Instruments/Control,6,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 1, 1]"
Chemistry/Environmental technology,3,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
Electrical engineering/Basic communication processes,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
Electrical engineering/IT methods for management,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
Instruments/Measurement,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
Instruments/Medical technology,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
