Categories,Total,All Years
Electrical engineering/Computer technology,13,"[0, 0, 0, 2, 2, 1, 5, 2, 1]"
Electrical engineering/Digital communication,8,"[0, 0, 0, 2, 4, 2, 0, 0, 0]"
"Chemistry/Surface technology, coating",2,"[0, 0, 2, 0, 0, 0, 0, 0, 0]"
Electrical engineering/IT methods for management,2,"[0, 0, 0, 0, 1, 0, 0, 0, 1]"
Mechanical engineering/Transport,2,"[2, 0, 0, 0, 0, 0, 0, 0, 0]"
Other fields/Civil engineering,2,"[0, 0, 1, 0, 0, 1, 0, 0, 0]"
Electrical engineering/Audio-visual technology,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
Electrical engineering/Telecommunications,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
Instruments/Control,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
Instruments/Measurement,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
Instruments/Optics,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
Mechanical engineering/Machine tools,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
