Categories,Total,All Years
Mechanical engineering/Handling,322,"[0, 0, 1, 0, 1, 0, 0, 3, 11, 15, 6, 4, 3, 16, 0, 9, 2, 3, 1, 0, 4, 3, 18, 1, 4, 5, 6, 0, 1, 4, 21, 24, 31, 45, 37, 30, 13, 0]"
"Chemistry/Surface technology, coating",159,"[0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 5, 0, 3, 16, 0, 10, 1, 1, 2, 1, 5, 2, 15, 0, 1, 5, 11, 0, 0, 5, 1, 6, 7, 15, 24, 9, 5, 0]"
Mechanical engineering/Textile and paper machines,147,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 0, 0, 3, 17, 0, 9, 4, 3, 0, 0, 0, 5, 2, 3, 2, 0, 0, 0, 1, 7, 0, 2, 20, 17, 18, 22, 2, 4]"
Chemistry/Basic materials chemistry ,74,"[2, 0, 0, 2, 0, 0, 1, 3, 12, 10, 6, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18, 8, 2, 1]"
Mechanical engineering/Other special machines,61,"[0, 0, 0, 0, 0, 0, 2, 5, 0, 0, 0, 0, 0, 1, 1, 7, 0, 3, 0, 0, 1, 1, 5, 1, 0, 2, 1, 0, 0, 1, 1, 3, 7, 8, 4, 7, 0, 0]"
"Chemistry/Macromolecular chemistry, polymers",48,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 8, 2, 12, 0, 0, 0, 0, 1, 0, 0, 1, 2, 1, 0, 6, 0, 0, 2, 4, 4, 2, 0, 1]"
Chemistry/Environmental technology,41,"[0, 1, 0, 1, 1, 1, 0, 2, 9, 2, 8, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 1, 2, 1, 0, 0, 0, 0, 0]"
"Other fields/Furniture, games",37,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 2, 12, 4, 3, 3, 6, 0, 0]"
Other fields/Other consumer goods,27,"[0, 0, 0, 0, 0, 0, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 6, 3, 0, 0]"
Chemistry/Chemical engineering,23,"[2, 0, 0, 1, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Instruments/Medical technology,19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0]"
Mechanical engineering/Machine tools,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 6, 0, 0, 2, 0, 0, 0, 0, 0]"
Chemistry/Organic fine chemistry,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 9, 0, 0, 0, 0]"
Other fields/Civil engineering,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Chemistry/Food chemistry,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]"
Instruments/Measurement,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]"
Electrical engineering/Audio-visual technology,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
Electrical engineering/IT methods for management,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Chemistry/Materials, metallurgy",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Mechanical engineering/Transport,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
