Categories,Total,All Years
Chemistry/Basic materials chemistry ,63,"[0, 0, 0, 2, 0, 0, 1, 6, 4, 2, 7, 6, 9, 7, 2, 2, 4, 6, 4, 1]"
Mechanical engineering/Other special machines,57,"[0, 0, 0, 0, 0, 2, 1, 4, 2, 7, 5, 5, 2, 3, 6, 4, 7, 3, 5, 1]"
Chemistry/Food chemistry,40,"[0, 0, 0, 1, 1, 0, 0, 2, 1, 4, 7, 3, 2, 0, 2, 2, 3, 5, 4, 3]"
Chemistry/Biotechnology,20,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 4, 0, 0, 2, 4, 5, 1]"
"Chemistry/Macromolecular chemistry, polymers",14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6, 0, 0, 0, 0, 3, 0, 0]"
Chemistry/Pharmaceuticals,14,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3, 1, 1, 1, 0, 5, 0, 0, 0, 0]"
"Other fields/Furniture, games",13,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 1, 2, 0, 0, 3, 1, 0]"
Chemistry/Organic fine chemistry,11,"[1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 4, 1, 0, 0, 0, 3, 0, 0, 0, 0]"
Chemistry/Environmental technology,8,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 3, 1]"
Chemistry/Chemical engineering,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2]"
Electrical engineering/IT methods for management,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 1, 0, 0]"
Mechanical engineering/Handling,5,"[0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
"Electrical engineering/Electrical machinery, apparatus, energy",5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0]"
"Chemistry/Surface technology, coating",5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0]"
Other fields/Civil engineering,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0]"
"Chemistry/Materials, metallurgy",4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0]"
Other fields/Other consumer goods,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]"
Electrical engineering/Computer technology,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
Instruments/Control,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
Instruments/Measurement,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Instruments/Medical technology,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Mechanical engineering/Machine tools,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Chemistry/Micro-structural and nano-technology,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
Mechanical engineering/Thermal processes and apparatus,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
