Categories,Total,All Years
Other fields/Civil engineering,39,"[0, 1, 1, 0, 1, 1, 0, 0, 0, 6, 2, 5, 1, 1, 4, 3, 8, 4, 1]"
Mechanical engineering/Machine tools,16,"[0, 0, 0, 2, 1, 0, 2, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 4, 0]"
"Chemistry/Surface technology, coating",12,"[0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 1, 0, 0, 0, 1, 0, 3, 3, 0]"
Mechanical engineering/Other special machines,12,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 2, 4, 0]"
"Other fields/Furniture, games",11,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 5, 0, 1, 0, 1, 2, 0, 0, 0, 0]"
Other fields/Other consumer goods,7,"[0, 2, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
"Chemistry/Materials, metallurgy",5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0]"
"Chemistry/Macromolecular chemistry, polymers",4,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
Chemistry/Basic materials chemistry ,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
Mechanical engineering/Handling,3,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
Instruments/Medical technology,2,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Mechanical engineering/Transport,2,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Chemistry/Environmental technology,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Electrical engineering/Audio-visual technology,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Instruments/Control,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Mechanical engineering/Textile and paper machines,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
