Categories,Total,All Years
Chemistry/Environmental technology,173,"[0, 1, 6, 0, 0, 1, 0, 1, 0, 0, 6, 2, 0, 3, 4, 16, 5, 8, 4, 7, 7, 4, 16, 12, 15, 8, 8, 18, 11, 9, 1]"
Chemistry/Chemical engineering,117,"[0, 2, 6, 0, 0, 2, 0, 3, 0, 0, 7, 0, 0, 0, 2, 13, 2, 2, 3, 2, 2, 8, 14, 3, 9, 8, 4, 8, 7, 9, 1]"
"Chemistry/Materials, metallurgy",107,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 15, 1, 0, 1, 1, 3, 4, 6, 1, 2, 7, 6, 7, 7, 3, 13, 6, 10, 8, 3, 0]"
Chemistry/Basic materials chemistry ,74,"[0, 0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 3, 5, 4, 5, 4, 4, 3, 4, 1, 3, 7, 10, 6, 6, 3, 0]"
Mechanical engineering/Handling,63,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 1, 2, 7, 14, 2, 2, 2, 3, 2, 5, 4, 5, 4, 4, 0]"
Mechanical engineering/Other special machines,59,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 1, 0, 1, 4, 1, 0, 3, 4, 5, 9, 8, 4, 9, 6, 0]"
Chemistry/Organic fine chemistry,58,"[0, 0, 0, 0, 10, 13, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 2, 0, 2, 2, 1, 0, 4, 4, 5, 4, 3, 2, 1, 1, 0]"
Instruments/Medical technology,51,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 5, 2, 20, 1, 0, 0, 1, 2, 2, 5, 2, 4, 0, 0, 0]"
Mechanical engineering/Textile and paper machines,48,"[2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 3, 4, 4, 1, 1, 2, 0, 2, 1, 7, 5, 8, 0, 4, 0]"
"Chemistry/Macromolecular chemistry, polymers",43,"[0, 0, 0, 0, 9, 11, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 4, 0, 0, 0, 1, 1, 0, 2, 0, 3, 3, 1, 2, 1, 0]"
Chemistry/Food chemistry,41,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 5, 4, 2, 2, 7, 0, 2, 2, 2, 1, 3, 4, 0]"
"Chemistry/Surface technology, coating",38,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 2, 2, 3, 0, 0, 2, 3, 1, 1, 7, 3, 8, 2, 0, 0]"
Mechanical engineering/Machine tools,35,"[2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3, 0, 2, 2, 1, 10, 2, 1, 3, 2, 1, 1, 0]"
Other fields/Civil engineering,31,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 2, 0, 1, 0, 0, 1, 3, 2, 1, 2, 1, 3, 4, 2, 2, 1]"
"Mechanical engineering/Engines, pumps, turbines",26,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 1, 0, 1, 8, 0, 1, 1, 0, 2, 1, 0, 0, 2, 1, 0]"
Other fields/Other consumer goods,23,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 5, 9, 1, 1, 0]"
Chemistry/Biotechnology,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3, 0, 4, 0, 0, 2, 0, 1, 1, 4, 2, 0, 0]"
"Electrical engineering/Electrical machinery, apparatus, energy",17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 3, 2, 0, 2, 3, 2, 0, 1, 0]"
Mechanical engineering/Thermal processes and apparatus,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 2, 0, 0, 5, 3, 0]"
"Other fields/Furniture, games",13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 1, 0, 3, 0, 0, 1, 0, 1, 0, 0, 2, 0]"
Instruments/Optics,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 3, 3, 0, 0, 0, 1, 0, 0, 0, 0]"
Instruments/Measurement,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0]"
Mechanical engineering/Mechanical elements,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 2, 0, 0]"
Mechanical engineering/Transport,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
Chemistry/Pharmaceuticals,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0]"
Instruments/Control,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 0, 1, 0, 0, 0, 1, 0]"
Chemistry/Micro-structural and nano-technology,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 2, 0, 0, 0, 0, 0]"
Electrical engineering/IT methods for management,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]"
Electrical engineering/Semiconductors,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0]"
Electrical engineering/Computer technology,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]"
Electrical engineering/Digital communication,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
Electrical engineering/Telecommunications,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
Electrical engineering/Audio-visual technology,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Instruments/Analysis of biological materials,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
