Categorías,Total,Todos los años
Ingeniería eléctrica/Tecnología informática,72,"[4, 3, 12, 10, 13, 22, 7, 1]"
Ingeniería eléctrica/Comunicación digital,34,"[2, 2, 2, 6, 10, 12, 0, 0]"
Métodos de ingeniería eléctrica/TI para la gestión,20,"[4, 0, 2, 4, 2, 4, 3, 1]"
Instrumentos/Control,10,"[0, 0, 2, 1, 0, 6, 1, 0]"
Instrumentos/Tecnología médica,7,"[0, 0, 2, 2, 1, 1, 1, 0]"
Otros campos/Otros bienes de consumo,5,"[0, 0, 0, 0, 0, 5, 0, 0]"
Ingeniería mecánica/Otras máquinas especiales,5,"[0, 0, 3, 2, 0, 0, 0, 0]"
Ingeniería mecánica/Manipulación,4,"[0, 0, 2, 0, 0, 2, 0, 0]"
Ingeniería mecánica/Transporte,4,"[0, 0, 0, 0, 0, 4, 0, 0]"
Ingeniería eléctrica/Tecnología audiovisual,4,"[0, 1, 0, 0, 0, 3, 0, 0]"
"Otros campos/Mobiliario, juegos",3,"[0, 0, 2, 1, 0, 0, 0, 0]"
Instrumentos/Medición,3,"[0, 0, 1, 2, 0, 0, 0, 0]"
Instrumentos/Óptica,3,"[0, 0, 1, 2, 0, 0, 0, 0]"
Ingeniería eléctrica/Telecomunicaciones,3,"[0, 0, 0, 0, 0, 3, 0, 0]"
Química/Ingeniería química,2,"[0, 0, 0, 0, 2, 0, 0, 0]"
Ingeniería mecánica/Procesos y aparatos térmicos,1,"[0, 0, 0, 1, 0, 0, 0, 0]"
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",1,"[0, 0, 1, 0, 0, 0, 0, 0]"
