Categorías,Total,Todos los años
Ingeniería mecánica/Otras máquinas especiales,255,"[1, 1, 1, 1, 1, 5, 17, 8, 30, 37, 53, 42, 39, 18, 1]"
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",18,"[0, 0, 0, 0, 0, 0, 7, 0, 3, 0, 2, 3, 3, 0, 0]"
Ingeniería mecánica/Manipulación,13,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 4, 3, 1, 0]"
Otros campos/Ingeniería civil,11,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 4, 4, 1, 0, 0]"
Ingeniería mecánica/Procesos y aparatos térmicos,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 1, 0]"
Ingeniería eléctrica/Tecnología audiovisual,6,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 0]"
Instrumentos/Medición,6,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 2, 0, 0]"
Química/Ingeniería química,5,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
Química/Tecnología ambiental,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0]"
Química/Química de materiales básicos ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0]"
Otros campos/Otros bienes de consumo,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
Métodos de ingeniería eléctrica/TI para la gestión,2,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
"Ingeniería mecánica/Motores, bombas, turbinas",2,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
Ingeniería eléctrica/Comunicación digital,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
Instrumentos/Óptica,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Ingeniería mecánica/Elementos mecánicos,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Ingeniería eléctrica/Tecnología informática,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
"Química/Materiales, metalurgia",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Química/Química de los alimentos,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
Instrumentos/Control,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
