Categorías,Total,Todos los años
Ingeniería eléctrica/Tecnología informática,112,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 19, 7, 2, 4, 11, 6, 22, 13, 21, 3]"
Ingeniería mecánica/Otras máquinas especiales,93,"[0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 9, 8, 4, 4, 11, 11, 18, 15, 9, 1]"
Métodos de ingeniería eléctrica/TI para la gestión,77,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 2, 4, 7, 8, 15, 4, 22, 2]"
Instrumentos/Control,27,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 2, 1, 0, 0, 4, 6, 3, 7, 0]"
Instrumentos/Medición,25,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 4, 0, 1, 2, 1, 5, 4, 4, 0]"
Instrumentos/Análisis de materiales biológicos,13,"[0, 0, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 4, 0]"
Ingeniería eléctrica/Comunicación digital,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 4, 3, 0]"
Química/Biotecnología,11,"[1, 0, 1, 0, 0, 0, 0, 1, 2, 1, 2, 0, 0, 0, 0, 0, 0, 2, 1, 0]"
Química/Ingeniería química,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 3, 1, 0]"
Ingeniería eléctrica/Tecnología audiovisual,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 2, 1]"
Química/Química de materiales básicos ,6,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
Ingeniería mecánica/Transporte,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 0, 0, 1, 0, 0]"
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",5,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0]"
Ingeniería mecánica/Manipulación,4,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]"
Ingeniería mecánica/Elementos mecánicos,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0]"
Ingeniería eléctrica/Telecomunicaciones,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0]"
Química/Química orgánica fina,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Química/Química de los alimentos,2,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Ingeniería mecánica/Procesos y aparatos térmicos,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Instrumentos/Tecnología médica,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Instrumentos/Óptica,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
"Ingeniería mecánica/Motores, bombas, turbinas",1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Química/Tecnología ambiental,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
