Categorías,Total,Todos los años
Ingeniería mecánica/Otras máquinas especiales,128,"[0, 1, 2, 0, 0, 0, 0, 2, 8, 15, 5, 15, 40, 24, 10, 6, 0]"
Instrumentos/Medición,107,"[1, 0, 0, 1, 0, 2, 0, 2, 7, 6, 15, 12, 13, 17, 17, 13, 1]"
Ingeniería eléctrica/Tecnología informática,90,"[0, 0, 0, 0, 0, 1, 0, 0, 5, 0, 3, 15, 20, 19, 9, 15, 3]"
Métodos de ingeniería eléctrica/TI para la gestión,88,"[0, 1, 0, 0, 3, 0, 1, 1, 3, 2, 7, 10, 28, 16, 8, 6, 2]"
Instrumentos/Control,66,"[0, 0, 0, 0, 1, 2, 4, 6, 9, 2, 5, 7, 12, 7, 7, 4, 0]"
Instrumentos/Análisis de materiales biológicos,43,"[0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 0, 9, 8, 10, 10, 0, 0]"
Ingeniería eléctrica/Tecnología audiovisual,38,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 5, 3, 4, 6, 9, 6, 2, 0]"
Ingeniería mecánica/Transporte,31,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 5, 5, 12, 3, 3, 0, 0]"
Ingeniería eléctrica/Telecomunicaciones,26,"[0, 0, 0, 0, 0, 0, 1, 0, 4, 5, 1, 4, 3, 1, 4, 3, 0]"
Ingeniería eléctrica/Comunicación digital,25,"[0, 0, 0, 0, 3, 0, 2, 0, 3, 3, 1, 0, 2, 3, 6, 2, 0]"
Ingeniería mecánica/Elementos mecánicos,22,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11, 2, 4, 0]"
Química/Ingeniería química,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 3, 0, 0]"
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",7,"[0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]"
Química/Química de materiales básicos ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 0, 0]"
Instrumentos/Óptica,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 0, 0]"
Ingeniería mecánica/Manipulación,5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 1, 0]"
Ingeniería eléctrica/Procesos básicos de comunicación,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
Química/Química de los alimentos,2,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Química/Tecnología ambiental,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
Otros campos/Ingeniería civil,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
Química/Biotecnología,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Ingeniería mecánica/Máquinas herramientas,1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
