Categorías,Total,Todos los años
Ingeniería mecánica/Transporte,634,"[0, 0, 0, 1, 1, 0, 3, 3, 2, 3, 7, 18, 34, 51, 79, 182, 129, 121]"
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",470,"[0, 0, 1, 0, 0, 0, 0, 1, 1, 3, 8, 15, 30, 35, 38, 84, 98, 156]"
Instrumentos/Medición,465,"[0, 0, 0, 0, 1, 0, 4, 0, 2, 2, 3, 16, 27, 29, 61, 80, 74, 166]"
Química/Ingeniería química,437,"[0, 0, 0, 0, 1, 2, 1, 0, 1, 1, 0, 10, 17, 14, 15, 50, 37, 288]"
Ingeniería mecánica/Máquinas herramientas,424,"[0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 6, 9, 26, 16, 20, 37, 46, 260]"
Ingeniería eléctrica/Tecnología informática,391,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 11, 37, 41, 85, 81, 128]"
Otros campos/Ingeniería civil,382,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 20, 12, 21, 63, 42, 214]"
Ingeniería mecánica/Otras máquinas especiales,358,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7, 13, 17, 11, 22, 41, 36, 210]"
Ingeniería mecánica/Manipulación,356,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3, 18, 32, 20, 33, 54, 36, 157]"
Instrumentos/Tecnología médica,319,"[1, 0, 0, 0, 0, 2, 2, 0, 2, 1, 5, 8, 18, 24, 11, 51, 38, 156]"
Instrumentos/Control,259,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 7, 14, 21, 37, 57, 52, 68]"
Ingeniería eléctrica/Tecnología audiovisual,223,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 2, 8, 21, 29, 43, 69, 48]"
Ingeniería mecánica/Elementos mecánicos,218,"[0, 0, 0, 0, 0, 2, 1, 0, 3, 1, 1, 8, 13, 11, 20, 57, 29, 72]"
"Ingeniería mecánica/Motores, bombas, turbinas",171,"[0, 0, 1, 2, 0, 0, 0, 0, 0, 3, 4, 8, 8, 12, 17, 27, 24, 65]"
Química/Tecnología ambiental,136,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 2, 9, 12, 20, 86]"
"Otros campos/Mobiliario, juegos",130,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 6, 9, 6, 13, 27, 19, 47]"
Instrumentos/Óptica,110,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 3, 0, 4, 10, 13, 11, 27, 23, 17]"
Ingeniería eléctrica/Semiconductores,110,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 12, 24, 24, 26, 13]"
Química/Química de materiales básicos ,107,"[0, 0, 0, 0, 0, 2, 1, 0, 0, 1, 0, 3, 1, 2, 11, 19, 20, 47]"
"Química/Tecnología de superficies, recubrimiento",104,"[0, 0, 0, 0, 0, 2, 2, 0, 0, 1, 0, 4, 4, 8, 2, 11, 16, 54]"
Ingeniería eléctrica/Comunicación digital,97,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 8, 9, 32, 17, 25]"
"Química/Materiales, metalurgia",95,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 3, 3, 4, 12, 23, 47]"
Métodos de ingeniería eléctrica/TI para la gestión,85,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 6, 20, 22, 28]"
Otros campos/Otros bienes de consumo,85,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 10, 6, 7, 21, 7, 29]"
Ingeniería mecánica/Máquinas textiles y papeleras,74,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 7, 9, 5, 10, 10, 30]"
Ingeniería mecánica/Procesos y aparatos térmicos,69,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 6, 2, 8, 13, 8, 27]"
Química/Biotecnología,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 3, 6, 15, 6, 30]"
Química/Farmacéutica,59,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 2, 5, 12, 8, 27]"
"Química/Química macromolecular, polímeros",59,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 2, 11, 10, 31]"
Ingeniería eléctrica/Telecomunicaciones,56,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 5, 9, 18, 9, 8]"
Química/Química orgánica fina,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 5, 7, 8, 13]"
Ingeniería eléctrica/Procesos básicos de comunicación,36,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 6, 7, 12, 7]"
Instrumentos/Análisis de materiales biológicos,33,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 4, 5, 8, 12]"
Química/Química de los alimentos,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 5, 1, 18]"
Química/Microestructural y nanotecnología,23,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 1, 5, 11]"
