,Categories,year,Title,link
0,Electrical engineering/Computer technology,2024,AI-POWERED WORKFLOW OPTIMIZATION FOR FARM-LEVEL FOOD WASTE,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2024185165A1
1,Electrical engineering/IT methods for management,2024,AI-POWERED WORKFLOW OPTIMIZATION FOR FARM-LEVEL FOOD WASTE,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2024185165A1
2,Electrical engineering/IT methods for management,2022,INTUITIVE AI-POWERED WORKER PRODUCTIVITY AND SAFETY,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2024144151A1
3,Instruments/Control,2020,Connected AI-powered meditation system,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11963770B1
4,Instruments/Medical technology,2020,Connected AI-powered meditation system,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11963770B1
5,"Other fields/Furniture, games",2020,Connected AI-powered meditation system,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11963770B1
6,Electrical engineering/Computer technology,2023,AI DEVICE AND METHOD FOR AI-POWERED RESEARCH-PAPER RECOMMENDATION,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=KR102651469B1
7,Electrical engineering/IT methods for management,2023,AI DEVICE AND METHOD FOR AI-POWERED RESEARCH-PAPER RECOMMENDATION,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=KR102651469B1
8,Mechanical engineering/Handling,2022,Systems and methods for distributed training and management of AI-powered robots using teleoperation via virtual spaces,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11931907B2
9,Electrical engineering/Computer technology,2022,AI-powered tagging and UI/UX optimization engine,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11928318B2
10,Electrical engineering/Digital communication,2022,ON THE FLY CERTIFICATE GENERATION,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2024073196A1
11,Electrical engineering/Computer technology,2023,STATIONARY MULTI-SOURCE AI-POWERED REAL-TIME TOMOGRAPHY (SMART),http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2024070938A1
12,Electrical engineering/Digital communication,2022,ON THE FLY CERTIFICATE GENERATION,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2024073195A1
13,Electrical engineering/Digital communication,2022,ON THE FLY CERTIFICATE GENERATION,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2024073183A1
14,Electrical engineering/Computer technology,2021,AI- BACKED E-COMMERCE FOR ALL THE TOP RATED PRODUCTS ON A SINGLE PLATFORM,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2024062264A1
15,Electrical engineering/IT methods for management,2021,AI- BACKED E-COMMERCE FOR ALL THE TOP RATED PRODUCTS ON A SINGLE PLATFORM,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2024062264A1
16,Electrical engineering/Computer technology,2023,System and method of facilitating human interactions with products and services over a network,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11908476B1
17,Electrical engineering/Computer technology,2022,INTUITIVE AI-POWERED PERSONAL EFFECTIVENESS IN CONNECTED WORKPLACE,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2024054430A1
18,Electrical engineering/IT methods for management,2022,INTUITIVE AI-POWERED PERSONAL EFFECTIVENESS IN CONNECTED WORKPLACE,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2024054430A1
19,Electrical engineering/Computer technology,2022,Method and system for AI-powered smart homes and offices,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11893460B2
20,Electrical engineering/Digital communication,2022,Method and system for AI-powered smart homes and offices,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11893460B2
21,Instruments/Control,2022,Method and system for AI-powered smart homes and offices,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11893460B2
22,Electrical engineering/Computer technology,2022,"SMART HUMAN CONNECTION HOLOGRAPHIC PROJECTION DEVICE CONFIGURED TO PROJECT AN INTELLIGENT, RESPONSIVE, AI POWERED ANIMATED HOLOGRAPHIC CHARACTER IN A CONTAINER FOR INTERACTION BY A VIEWER",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CA3164834A1
23,Electrical engineering/Digital communication,2022,"SMART HUMAN CONNECTION HOLOGRAPHIC PROJECTION DEVICE CONFIGURED TO PROJECT AN INTELLIGENT, RESPONSIVE, AI POWERED ANIMATED HOLOGRAPHIC CHARACTER IN A CONTAINER FOR INTERACTION BY A VIEWER",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CA3164834A1
24,Electrical engineering/Telecommunications,2022,"SMART HUMAN CONNECTION HOLOGRAPHIC PROJECTION DEVICE CONFIGURED TO PROJECT AN INTELLIGENT, RESPONSIVE, AI POWERED ANIMATED HOLOGRAPHIC CHARACTER IN A CONTAINER FOR INTERACTION BY A VIEWER",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CA3164834A1
25,Electrical engineering/Computer technology,2023,AI-POWERED AUTONOMOUS PLANT-GROWTH OPTIMIZATION SYSTEM THAT AUTOMATICALLY ADJUSTS INPUT VARIABLES TO YIELD DESIRED HARVEST TRAITS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023409910A1
26,Electrical engineering/Computer technology,2022,TRANSFER OF AI-POWERED CONVERSATIONAL MESSAGING WITHIN A MOBILE APPLICATION,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023379282A1
27,Electrical engineering/Digital communication,2022,TRANSFER OF AI-POWERED CONVERSATIONAL MESSAGING WITHIN A MOBILE APPLICATION,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023379282A1
28,Electrical engineering/Telecommunications,2022,TRANSFER OF AI-POWERED CONVERSATIONAL MESSAGING WITHIN A MOBILE APPLICATION,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023379282A1
29,Electrical engineering/Digital communication,2022,INTEGRATION OF AI-POWERED CONVERSATIONAL MESSAGING WITH A LIVE AGENT INTERACTION,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023379273A1
30,Electrical engineering/Telecommunications,2022,INTEGRATION OF AI-POWERED CONVERSATIONAL MESSAGING WITH A LIVE AGENT INTERACTION,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023379273A1
31,Electrical engineering/Computer technology,2023,METHOD AND SYSTEM FOR IMPLEMENTING AI-POWERED AUGMENTED REALITY LEARNING DEVICES,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023368688A1
