,Categories,year,Title,link
0,Mechanical engineering/Other special machines,2023,VERTICAL FARMING RACKING SYSTEM,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4378302A2
1,Mechanical engineering/Handling,2022,A SERVICE VEHICLE FOR AN AUTOMATED STORAGE AND RETRIEVAL SYSTEM,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN118119271A
2,Mechanical engineering/Other special machines,2022,A SERVICE VEHICLE FOR AN AUTOMATED STORAGE AND RETRIEVAL SYSTEM,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN118119271A
3,Mechanical engineering/Other special machines,2023,VERTICAL FARMING SYSTEM,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2024110162A1
4,Mechanical engineering/Other special machines,2019,GROWING SPACE FOR VERTICAL FARMING,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=ES2970157T3
5,Mechanical engineering/Other special machines,2022,MODULAR GROWTH UNIT FOR A VERTICAL FARMING SYSTEM,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=JP2024520607A
6,Mechanical engineering/Other special machines,2019,Vertical grow tower conveyance system for controlled environment agriculture,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=AU2019240064B2
7,Mechanical engineering/Other special machines,2022,SCALABLE AND MODULAR UNDERGROUND AGRICULTURE SYSTEM,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2024155981A1
8,Mechanical engineering/Other special machines,2019,AUTOMATED VERTICAL FARMING SYSTEM USING MOBILE ROBOTS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=JP7478317B2
9,Mechanical engineering/Other special machines,2022,Storage grid for vertical farming,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117979822A
10,Mechanical engineering/Other special machines,2024,Vertical grow tower conveyance system for controlled environment agriculture,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=AU2024202370A1
11,Mechanical engineering/Other special machines,2023,PLANT PANELS AND COLUMNS WITH BUILT-IN WATER TANK,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2024085776A1
12,Mechanical engineering/Other special machines,2022,GROWTH SUBSTRATE FOR SOILLESS CULTIVATION,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2024083309A1
13,Mechanical engineering/Other special machines,2022,Controller-operated vertical farming system using transportable modules,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=KR20240050434A
14,Mechanical engineering/Other special machines,2022,MODULAR GROWTH UNIT FOR A VERTICAL FARMING SYSTEM,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4346383A1
15,Mechanical engineering/Other special machines,2021,Modular growth unit for a vertical farming system,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=GB2607365B
16,Electrical engineering/Computer technology,2023,A panoramic segmentation algorithm for vertical farming containers,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117808821A
17,Mechanical engineering/Other special machines,2020,Vertical grow tower conveyance system for controlled environment agriculture including tower shuttle,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11944049B2
18,Chemistry/Basic materials chemistry ,2022,BIOBASED MICRONUTRIENT COMPOSITIONS FOR AGRICULTURAL PROCESSES,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=AU2022347294A1
19,Mechanical engineering/Other special machines,2021,Mobile and modular cultivation systems for vertical farming,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11937561B2
20,Mechanical engineering/Other special machines,2023,PRODUCTION FACILITY LAYOUTS FOR AUTOMATED CONTROLLED ENVIRONMENT AGRICULTURE,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2024090394A1
21,Mechanical engineering/Other special machines,2023,Controller-Operated Vertical Farming System Using Transportable Modules,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2024081208A1
22,Instruments/Measurement,2022,mini vertical farming,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=KR20240000399U
23,Mechanical engineering/Other special machines,2022,mini vertical farming,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=KR20240000399U
24,Mechanical engineering/Other special machines,2022,MODULAR GROWTH UNIT FOR A VERTICAL FARMING SYSTEM,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=AU2022285112A1
25,Mechanical engineering/Other special machines,2019,GROWING SPACE FOR VERTICAL FARMING,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=PT3772897T
26,Mechanical engineering/Other special machines,2019,GROWING SPACE FOR VERTICAL FARMING,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DK3772897T3
27,Mechanical engineering/Other special machines,2020,Production facility layouts for automated controlled environment agriculture,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11856902B2
28,Mechanical engineering/Other special machines,2022,VERTICAL FARMING SYSTEM AND METHOD FOR MONITORING AND CONTROLLING PLANT GROWTH,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023397557A1
29,Mechanical engineering/Other special machines,2023,VERTICAL FARMING SYSTEM,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2023237622A1
30,Mechanical engineering/Other special machines,2022,Vertical farming system,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=GB2619527A
31,Mechanical engineering/Other special machines,2020,Vertical farm irrigation system with dual return pumps,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11832566B2
32,Other fields/Civil engineering,2022,Method and device for optimization of plants root-zone temperature,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=IL292980A
33,Mechanical engineering/Other special machines,2022,Controller-operated vertical farming system using transportable modules,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11825787B2
34,Mechanical engineering/Other special machines,2023,"VERTICAL FARMING APPARATUS, SYSTEMS, AND METHODS",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023371442A1
