,Categories,year,Title,link
0,Electrical engineering/Audio-visual technology,2023,INFRASTRUCTURELESS ACTIVE CARRIER PLANE (ACP),http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2024097603A1
1,"Chemistry/Macromolecular chemistry, polymers",2023,METHODS FOR MODIFYING ASPHALT USING LOW GREENHOUSE GAS LIQUIDS OBTAINED FROM DEPOLYMERIZATION OF WASTE PLASTICS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2024020510A2
2,"Chemistry/Materials, metallurgy",2023,METHODS FOR MODIFYING ASPHALT USING LOW GREENHOUSE GAS LIQUIDS OBTAINED FROM DEPOLYMERIZATION OF WASTE PLASTICS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2024020510A2
3,Chemistry/Biotechnology,2023,A COMPACT MANNER OF GROWING MICROALGAE SUITABLE FOR CARBON SEQUESTRATION AND CREATING A CIRCULAR ECONOMY,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2023234767A1
4,"Electrical engineering/Electrical machinery, apparatus, energy",2021,"Integrated carbon-negative, energy generation and storage system",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11569663B1
5,"Mechanical engineering/Engines, pumps, turbines",2021,"Integrated carbon-negative, energy generation and storage system",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US11569663B1
6,Chemistry/Biotechnology,2021,Global Warming Reversal System,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=AU2021106889A4
7,Chemistry/Environmental technology,2020,INTRINSIC CO2 CAPTURE PROCESS AND NET CARBON NEGATIVE CHEMICAL PRODUCTION,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CA3152252A1
8,"Chemistry/Materials, metallurgy",2020,Systems and Methods for Net Carbon Negative and More Profitable Chemical Production,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2021053871A1
9,Chemistry/Environmental technology,2020,INTRINSIC CO2 CAPTURE PROCESS AND NET CARBON NEGATIVE CHEMICAL PRODUCTION,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2021035106A1
