,Categories,year,Title,link
0,Electrical engineering/Audio-visual technology,2024,Image display system utilizing wireless downloading,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN118154483A
1,Electrical engineering/Computer technology,2024,Image display system utilizing wireless downloading,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN118154483A
2,Electrical engineering/IT methods for management,2024,Image display system utilizing wireless downloading,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN118154483A
3,Electrical engineering/Audio-visual technology,2023,Intelligent agricultural management system and method based on AI video processing,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117726296B
4,Electrical engineering/Computer technology,2023,Intelligent agricultural management system and method based on AI video processing,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117726296B
5,Electrical engineering/Digital communication,2023,Intelligent agricultural management system and method based on AI video processing,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117726296B
6,Electrical engineering/IT methods for management,2023,Intelligent agricultural management system and method based on AI video processing,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117726296B
7,Electrical engineering/IT methods for management,2023,Risk early warning system and method for landscape ecological protection based on artificial intelligence,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116797027B
8,Electrical engineering/Computer technology,2024,"An AI-based smart agricultural greenhouse management method, system and storage medium",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN118014761A
9,Electrical engineering/IT methods for management,2024,"An AI-based smart agricultural greenhouse management method, system and storage medium",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN118014761A
10,Instruments/Control,2022,An intelligent control system for agricultural greenhouses,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN118012179A
11,Electrical engineering/Computer technology,2024,A method and device for constructing a data set,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117972432A
12,Chemistry/Chemical engineering,2022,Artificial intelligence automatic feeding equipment for agriculture and animal husbandry,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN115039707B
13,Mechanical engineering/Other special machines,2022,Artificial intelligence automatic feeding equipment for agriculture and animal husbandry,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN115039707B
14,Mechanical engineering/Other special machines,2024,"A multi-faceted, low energy consumption and high efficiency artificial intelligence agricultural irrigation device in mountainous areas",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117837472A
15,Electrical engineering/Digital communication,2023,Intelligent agricultural system based on AI technology,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117729242A
16,Electrical engineering/IT methods for management,2023,Intelligent agricultural system based on AI technology,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117729242A
17,Instruments/Measurement,2023,Intelligent agricultural system based on AI technology,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117729242A
18,Electrical engineering/Audio-visual technology,2023,Intelligent agricultural management system and method based on AI video processing,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117726296A
19,Electrical engineering/Computer technology,2023,Intelligent agricultural management system and method based on AI video processing,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117726296A
20,Electrical engineering/Digital communication,2023,Intelligent agricultural management system and method based on AI video processing,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117726296A
21,Electrical engineering/IT methods for management,2023,Intelligent agricultural management system and method based on AI video processing,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117726296A
22,Chemistry/Chemical engineering,2023,Intelligent drying monitoring system based on artificial intelligence technology,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN220602122U
23,Instruments/Control,2023,Intelligent agricultural production control system based on artificial intelligence,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117666515A
24,Electrical engineering/IT methods for management,2023,Agricultural planting system and method based on artificial intelligence,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116399401B
25,Instruments/Analysis of biological materials,2023,Agricultural planting system and method based on artificial intelligence,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116399401B
26,Instruments/Measurement,2023,Agricultural planting system and method based on artificial intelligence,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116399401B
27,Mechanical engineering/Other special machines,2023,Agricultural planting system and method based on artificial intelligence,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116399401B
28,Electrical engineering/Computer technology,2023,Controllable agricultural cultivation management system and method based on artificial intelligence,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116703083B
29,Electrical engineering/IT methods for management,2023,Controllable agricultural cultivation management system and method based on artificial intelligence,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116703083B
30,Electrical engineering/Computer technology,2022,"Method and device for training image classification model, equipment and storage medium",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117475187A
31,Electrical engineering/IT methods for management,2023,AI prediction processing method and system applied to digital agriculture,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117114917B
32,Instruments/Control,2023,"Planting support methods and field work support systems, etc.",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=JP2024007547A
33,Mechanical engineering/Other special machines,2023,"Planting support methods and field work support systems, etc.",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=JP2024007547A
34,Electrical engineering/IT methods for management,2023,"Planting support methods and field work support systems, etc.",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=JP2024007313A
35,Electrical engineering/IT methods for management,2023,"Planting support methods and field work support systems, etc.",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=JP2024007317A
36,Mechanical engineering/Other special machines,2023,"Planting support methods and field work support systems, etc.",http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=JP2024007317A
37,Electrical engineering/Computer technology,2023,Dimension-referenced livestock visual weight estimation method and system,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117351060A
38,Instruments/Measurement,2023,Dimension-referenced livestock visual weight estimation method and system,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117351060A
39,Chemistry/Biotechnology,2022,SMART SYSTEM FOR AUTOMATIC ANALYSIS OF MICRO RNA DATA MICROARRAY,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=RO137833A2
40,Chemistry/Biotechnology,2022,SMART SYSTEM FOR AUTOMATIC ANALYSIS OF MICRO RNA DATA NGS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=RO137834A2
41,Electrical engineering/Computer technology,2023,EFFICIENT METHOD FOR THREE-DIMENSIONAL IMAGE RECONSTRUCTION OF REMOTE AND INVISIBLE TARGETS FROM PHYSICAL SENSORS BASED ON DEEP LEARNING ARTIFICIAL INTELLIGENCE,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023410429A1
42,Electrical engineering/IT methods for management,2023,AI prediction processing method and system applied to digital agriculture,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117114917A
43,Electrical engineering/IT methods for management,2021,Agricultural production and marketing information sharing service system based on big data analysis,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN113643052B
44,Electrical engineering/Computer technology,2023,Intelligent agricultural water and fertilizer integrated irrigation system,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117016151A
45,Mechanical engineering/Other special machines,2023,Intelligent agricultural water and fertilizer integrated irrigation system,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117016151A
46,Electrical engineering/Computer technology,2023,ENHANCED MANAGEMENT ZONES FOR PRECISION AGRICULTURE,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023354734A1
47,Mechanical engineering/Other special machines,2023,ENHANCED MANAGEMENT ZONES FOR PRECISION AGRICULTURE,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2023354734A1
48,Electrical engineering/IT methods for management,2023,Intelligent agricultural machine operation method and system based on space-based Internet of Things communication,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116976559A
49,Electrical engineering/IT methods for management,2023,Corn planting decision management and control system based on intelligent AI agriculture,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116977111A
50,Instruments/Control,2023,Intelligent network connection controller applied to agricultural implement data acquisition,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN219758688U
51,Electrical engineering/Computer technology,2023,Garlic digging resistance and damage rate prediction system and method and storage medium,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116579254B
52,Electrical engineering/IT methods for management,2023,Garlic digging resistance and damage rate prediction system and method and storage medium,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116579254B
53,Electrical engineering/IT methods for management,2023,Risk early warning system and method for landscape ecological protection based on artificial intelligence,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116797027A
54,Electrical engineering/IT methods for management,2023,Digital rural comprehensive treatment AI early warning platform,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116777122A
55,Electrical engineering/Computer technology,2023,Air quality evaluation method based on combination of intelligent Internet of Things and deep learning,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116448966B
56,Instruments/Analysis of biological materials,2023,Air quality evaluation method based on combination of intelligent Internet of Things and deep learning,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN116448966B
