,Categories,year,Title,link
0,Instruments/Measurement,2019,System and method for turning standard irrigation pivots into a social network of autonomous ai farming robots,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=AU2019273858B2
1,Mechanical engineering/Other special machines,2019,System and method for turning standard irrigation pivots into a social network of autonomous ai farming robots,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=AU2019273858B2
2,Chemistry/Chemical engineering,2019,SYSTEM AND METHOD FOR TURNING IRRIGATION PIVOTS INTO A SOCIAL NETWORK OF AUTONOMOUS AI FARMING ROBOTS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2021169023A1
3,Instruments/Analysis of biological materials,2019,SYSTEM AND METHOD FOR TURNING IRRIGATION PIVOTS INTO A SOCIAL NETWORK OF AUTONOMOUS AI FARMING ROBOTS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2021169023A1
4,Instruments/Measurement,2019,SYSTEM AND METHOD FOR TURNING IRRIGATION PIVOTS INTO A SOCIAL NETWORK OF AUTONOMOUS AI FARMING ROBOTS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2021169023A1
5,Mechanical engineering/Other special machines,2019,SYSTEM AND METHOD FOR TURNING IRRIGATION PIVOTS INTO A SOCIAL NETWORK OF AUTONOMOUS AI FARMING ROBOTS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2021169023A1
6,Instruments/Measurement,2019,SYSTEM AND METHOD FOR TURNING STANDARD IRRIGATION PIVOTS INTO SOCIAL NETWORK OF AUTONOMOUS AI FARMING ROBOTS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN112384062A
7,Mechanical engineering/Other special machines,2019,SYSTEM AND METHOD FOR TURNING STANDARD IRRIGATION PIVOTS INTO SOCIAL NETWORK OF AUTONOMOUS AI FARMING ROBOTS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN112384062A
8,Instruments/Measurement,2019,System and method for turning standard irrigation pivots into a social network of autonomous ai farming robots,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=AU2019273858A1
9,Mechanical engineering/Other special machines,2019,System and method for turning standard irrigation pivots into a social network of autonomous ai farming robots,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=AU2019273858A1
10,Instruments/Measurement,2019,SYSTEM AND METHOD FOR TURNING STANDARD IRRIGATION PIVOTS INTO A SOCIAL NETWORK OF AUTONOMOUS AI FARMING ROBOTS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2019224817A1
11,Mechanical engineering/Other special machines,2019,SYSTEM AND METHOD FOR TURNING STANDARD IRRIGATION PIVOTS INTO A SOCIAL NETWORK OF AUTONOMOUS AI FARMING ROBOTS,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=WO2019224817A1
