,Categories,year,Title,link
0,Electrical engineering/Audio-visual technology,2020,CROP MONITORING DEVICE AND CROP MONITORING METHOD,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=JP7498955B2
1,Instruments/Measurement,2020,CROP MONITORING DEVICE AND CROP MONITORING METHOD,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=JP7498955B2
2,Mechanical engineering/Other special machines,2020,CROP MONITORING DEVICE AND CROP MONITORING METHOD,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=JP7498955B2
3,Electrical engineering/Computer technology,2024,A recommendation system for crop pest control plans based on deep learning,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN118134012A
4,Electrical engineering/IT methods for management,2024,A recommendation system for crop pest control plans based on deep learning,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN118134012A
5,Instruments/Measurement,2024,Synchronous monitoring method and device for crop water and fertilizer profit and loss,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN118067709A
6,Instruments/Analysis of biological materials,2022,Crop Monitoring System And Method,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2024167994A1
7,Electrical engineering/IT methods for management,2019,Method for guaranteeing no pollution to crop planting environment and tracing agricultural products,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN110348862B
8,Instruments/Analysis of biological materials,2019,Method for guaranteeing no pollution to crop planting environment and tracing agricultural products,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN110348862B
9,Electrical engineering/Computer technology,2021,METHOD AND SYSTEM FOR CROP LOSS ESTIMATION,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4128076A4
10,Mechanical engineering/Other special machines,2021,METHOD AND SYSTEM FOR CROP LOSS ESTIMATION,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=EP4128076A4
11,Instruments/Measurement,2022,Crop lodging monitoring method based on synthetic aperture radar dual polarization data coherence,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN114545410B
12,Electrical engineering/Computer technology,2023,Method and system for measuring and calculating plant height of crop population,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117274359B
13,Electrical engineering/Digital communication,2023,A remote data collection system for field crops based on the Internet of Things,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117914900A
14,Electrical engineering/Telecommunications,2023,A remote data collection system for field crops based on the Internet of Things,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117914900A
15,Instruments/Control,2023,A smart agricultural mobile inspection system,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117873066A
16,Electrical engineering/IT methods for management,2023,CROP MONITORING SYSTEM AND METHOD THEREOF,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=US2024112272A1
17,Electrical engineering/Basic communication processes,2024,An intelligent management system for agricultural technology extension record data,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=CN117807381A
