,Categories,year,Title,link
0,Mechanical engineering/Machine tools,2008,HOB PEELING METHOD AND USE,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102008037514B4
1,Mechanical engineering/Mechanical elements,2013,Drive train for a hybrid vehicle,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102013105026B4
2,Mechanical engineering/Transport,2013,Drive train for a hybrid vehicle,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102013105026B4
3,Mechanical engineering/Transport,2013,Method and device for driving a motor vehicle with hybrid drive,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102013107330B4
4,Mechanical engineering/Transport,2014,Wheel for a Motorcycle or a Motor Scooter,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102014226147B4
5,"Electrical engineering/Electrical machinery, apparatus, energy",2017,Method and device for driving several light sources and computer readable medium,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102017120689B4
6,"Electrical engineering/Electrical machinery, apparatus, energy",2017,HYBRID VEHICLE,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102017222306B4
7,Mechanical engineering/Transport,2017,HYBRID VEHICLE,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102017222306B4
8,"Electrical engineering/Electrical machinery, apparatus, energy",2019,Method for determining condition of cooling water in vehicle,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102019127144B4
9,"Mechanical engineering/Engines, pumps, turbines",2019,Method for determining condition of cooling water in vehicle,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102019127144B4
10,Mechanical engineering/Transport,2019,Method for determining condition of cooling water in vehicle,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102019127144B4
11,Electrical engineering/Semiconductors,2021,Semiconductor device and method for manufacturing the same,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102021104073B4
12,Mechanical engineering/Transport,2021,Height adjustment mechanism for headrest and child support device,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102021211535B4
13,Mechanical engineering/Transport,2022,Method for operating a recuperation brake of a vehicle,http://worldwide.espacenet.com/searchResults?ST=singleline&locale=en_EP&submitted=true&DB=worldwide.espacenet.com&query=DE102022004615A1
