Year,Cited by,DOI,Title,Authors,Source title
2017,1617,10.1016/j.agsy.2017.01.023,Big Data in Smart Farming – A review,Wolfert S.; Ge L.; Verdouw C.; Bogaardt M.-J.,Agricultural Systems
2018,808,10.1016/j.compag.2018.05.012,Machine learning approaches for crop yield prediction and nitrogen status estimation in precision agriculture: A review,Chlingaryan A.; Sukkarieh S.; Whelan B.,Computers and Electronics in Agriculture
2019,649,10.1016/j.njas.2019.100315,"A review of social science on digital agriculture, smart farming and agriculture 4.0: New contributions and a future research agenda",Klerkx L.; Jakku E.; Labarthe P.,NJAS - Wageningen Journal of Life Sciences
2019,583,10.1016/j.aiia.2019.05.004,A comprehensive review on automation in agriculture using artificial intelligence,Jha K.; Doshi A.; Patel P.; Shah M.,Artificial Intelligence in Agriculture
2020,459,10.3390/rs12193136,Applications of remote sensing in precision agriculture: A review,Sishodia R.P.; Ray R.L.; Singh S.K.,Remote Sensing
2020,419,10.1016/j.compag.2020.105256,Decision support systems for agriculture 4.0: Survey and challenges,Zhai Z.; Martínez J.F.; Beltran V.; Martínez N.L.,Computers and Electronics in Agriculture
2018,416,10.1109/JIOT.2017.2737479,Motor anomaly detection for unmanned aerial vehicles using reinforcement learning,Lu H.; Li Y.; Mu S.; Wang D.; Kim H.; Serikawa S.,IEEE Internet of Things Journal
2018,416,10.1016/j.compag.2018.09.040,An IoT based smart irrigation management system using Machine learning and open source technologies,Goap A.; Sharma D.; Shukla A.K.; Rama Krishna C.,Computers and Electronics in Agriculture
2016,392,10.1016/j.compag.2015.11.018,Wheat yield prediction using machine learning and advanced sensing techniques,Pantazi X.E.; Moshou D.; Alexandridis T.; Whetton R.L.; Mouazen A.M.,Computers and Electronics in Agriculture
2021,386,10.1109/TII.2020.3003910,"From Industry 4.0 to Agriculture 4.0: Current Status, Enabling Technologies, and Research Challenges",Liu Y.; Ma X.; Shu L.; Hancke G.P.; Abu-Mahfouz A.M.,IEEE Transactions on Industrial Informatics
