Year,Cited by,DOI,Title,Authors,Source title
2009,535,10.1016/j.worlddev.2008.08.023,Agrifood Industry Transformation and Small Farmers in Developing Countries,Reardon T.; Barrett C.B.; Berdegué J.A.; Swinnen J.F.M.,World Development
2003,503,10.1128/AEM.69.8.4343-4351.2003,Sources of Campylobacter colonization in broiler chickens,Newell D.G.; Fearnley C.,Applied and Environmental Microbiology
2009,471,10.1016/j.worlddev.2008.04.006,"Trade, Standards, and Poverty: Evidence from Senegal",Maertens M.; Swinnen J.F.M.,World Development
2017,470,10.1080/15487733.2017.1394054,Future food-production systems: Vertical farming and controlled-environment agriculture,Benke K.; Tomkins B.,"Sustainability: Science, Practice, and Policy"
2011,442,10.1063/1.3608170,Potential order-of-magnitude enhancement of wind farm power density via counter-rotating vertical-axis wind turbine arrays,Dabiri J.O.,Journal of Renewable and Sustainable Energy
2002,346,10.1073/pnas.222313099,The evolution of fungus-growing termites and their mutualistic fungal symbionts,Aanen D.K.; Eggleton P.; Rouland-Lefèvre C.; Guldberg-Frøslev T.; Rosendahl S.; Boomsma J.J.,Proceedings of the National Academy of Sciences of the United States of America
2001,330,,Coastal salt marsh systems in the U.S.: A review of anthropogenic impacts,Kennish M.J.,Journal of Coastal Research
2020,317,10.1016/j.gfs.2019.100347,Dealing with the game-changing technologies of Agriculture 4.0: How do we manage diversity and responsibility in food system transition pathways?,Klerkx L.; Rose D.,Global Food Security
2009,304,10.1016/j.applanim.2009.03.005,Cow behaviour pattern recognition using a three-dimensional accelerometer and support vector machines,Martiskainen P.; Järvinen M.; Skön J.-P.; Tiirikainen J.; Kolehmainen M.; Mononen J.,Applied Animal Behaviour Science
2018,298,10.25165/j.ijabe.20181101.3210,Advances in greenhouse automation and controlled environment agriculture: A transition to plant factories and urban agriculture,Shamshiri R.R.; Kalantari F.; Ting K.C.; Thorp K.R.; Hameed I.A.; Weltzien C.; Ahmad D.; Shad Z.,International Journal of Agricultural and Biological Engineering
