Year,Cited by,DOI,Title,Authors,Source title
2007,160,10.1007/978-1-4020-2626-3_14,Epidemiology of botrytis cinerea in orchard and vine crops,Elmer P.A.G.; Michailides T.J.,"Botrytis: Biology, Pathology and Control"
2021,121,10.1093/jee/toab158,Drosophila suzukii (Diptera: Drosophilidae): A Decade of Research towards a Sustainable Integrated Pest Management Program,Tait G.; Mermer S.; Stockton D.; Lee J.; Avosani S.; Abrieux A.; Anfora G.; Beers E.; Biondi A.; Burrack H.; Cha D.; Chiu J.C.; Choi M.-Y.; Cloonan K.; Crava C.M.; Daane K.M.; Dalton D.T.; Diepenbrock L.; Fanning P.; Ganjisaffar F.; Gómez M.I.; Gut L.; Grassi A.; Hamby K.; Hoelmer K.A.; Ioriatti C.; Isaacs R.; Klick J.; Kraft L.; Loeb G.; Rossi-Stacconi M.V.; Nieri R.; Pfab F.; Puppato S.; Rendon D.; Renkema J.; Rodriguez-Saona C.; Rogers M.; Sassù F.; Schöneberg T.; Scott M.J.; Seagraves M.; Sial A.; Van Timmeren S.; Wallingford A.; Wang X.; Yeh D.A.; Zalom F.G.; Walton V.M.,Journal of Economic Entomology
2016,97,10.1016/j.scienta.2016.03.016,"Fungus resistant grape varieties as a suitable alternative for organic wine production: Benefits, limits, and challenges",Pedneault K.; Provost C.,Scientia Horticulturae
2010,68,10.5424/1283,Effects of the times of application of a soil humic acid on berry quality of table grape (Vitis vinifera L.) cv Italia; [Efectos de los tiempos de aplicación de un ácido húmico del suelo sobre la calidad de las bayas de uva de mesa (Vitis vinifera L.) cv Italia],Ferrara G.; Brunetti G.,Spanish Journal of Agricultural Research
2022,66,10.1016/j.agwat.2021.107216,Towards a sustainable viticulture: The combination of deficit irrigation strategies and agroecological practices in Mediterranean vineyards. A review and update,Romero P.; Navarro J.M.; Ordaz P.B.,Agricultural Water Management
2012,66,10.1007/s10658-012-0042-1,"Reduced severity and impact of Fusarium wilt on strawberry by manipulation of soil pH, soil organic amendments and crop rotation",Fang X.; You M.P.; Barbetti M.J.,European Journal of Plant Pathology
2012,42,10.1186/1471-2458-12-612,Food patterns and dietary quality associated with organic food consumption during pregnancy; Data from a large cohort of pregnant women in Norway,Torjusen H.; Lieblein G.; Næs T.; Haugen M.; Meltzer H.M.; Brantsæter A.L.,BMC Public Health
2021,36,10.1016/j.foodchem.2020.128172,Regulated deficit irrigation strategies affect the terpene accumulation in Gewürztraminer (Vitis vinifera L.) grapes grown in the Okanagan Valley,Kovalenko Y.; Tindjau R.; Madilao L.L.; Castellarin S.D.,Food Chemistry
2020,34,10.1155/2020/6615118,"Valorization of Food Waste to Produce Eco-Friendly Means of Corrosion Protection and ""green"" Synthesis of Nanoparticles",Vasyliev G.; Vorobyova V.,Advances in Materials Science and Engineering
2017,31,10.20870/oeno-one.2016.0.0.1587,"Developmental, molecular and genetic studies on grapevine response to temperature open breeding strategies for adaptation to warming",Torregrosa L.; Bigard A.; Doligez A.; Lecourieux D.; Rienth M.; Luchaire N.; Pieri P.; Chatbanyong R.; Shahood R.; Farnos M.; Roux C.; Adiveze A.; Pillet J.; Sire Y.; Zumstein E.; Veyret M.; Le Cunff L.; Lecourieux F.; Saurin N.; Muller B.; Ojeda H.; Houel C.; Péros J.-P.; This P.; Pellegrino A.; Romieu C.,Oeno One
