Year,Cited by,DOI,Title,Authors,Source title
2016,1507,10.1161/CIRCULATIONAHA.115.018585,"Dietary and Policy Priorities for Cardiovascular Disease, Diabetes, and Obesity",Mozaffarian D.,Circulation
1998,276,10.1016/S0308-8146(97)00160-X,Review of cocoa butter and alternative fats for use in chocolate - Part A. Compositional data,Lipp M.; Anklam E.,Food Chemistry
2015,196,10.1016/j.njas.2015.09.001,"Cocoa production in West Africa, a review and analysis of recent developments",Wessel M.; Quist-Wessel P.M.F.,NJAS - Wageningen Journal of Life Sciences
2020,191,10.1080/10408398.2019.1674243,"Milk Analog: Plant based alternatives to conventional milk, production, potential and health concerns",Paul A.A.; Kumar S.; Kumar V.; Sharma R.,Critical Reviews in Food Science and Nutrition
2010,170,10.1186/1741-7015-8-39,Does chocolate reduce blood pressure? A meta-analysis,Ried K.; Sullivan T.; Fakler P.; Frank O.R.; Stocks N.P.,BMC Medicine
2014,169,10.1021/am500302t,Green synthesis of anisotropic gold nanoparticles for photothermal therapy of cancer,Fazal S.; Jayasree A.; Sasidharan S.; Koyakutty M.; Nair S.V.; Menon D.,ACS Applied Materials and Interfaces
2011,166,10.3945/an.110.000026,Which sources of flavonoids: Complex diets or dietary supplements?,Egert S.; Rimbach G.,Advances in Nutrition
2005,162,10.1080/14735903.2005.9684741,Agroforestry tree products (AFTPs): Targeting poverty reduction and enhanced livelihoods,Leakey R.R.B.; Tchoundjeu Z.; Schreckenberg K.; Shackleton S.E.; Shackleton C.M.,International Journal of Agricultural Sustainability
2013,156,10.1016/j.jfoodeng.2012.09.024,"Cocoa butter fats and possibilities of substitution in food products concerning cocoa varieties, alternative sources, extraction methods, composition, and characteristics",Jahurul M.H.A.; Zaidul I.S.M.; Norulaini N.A.N.; Sahena F.; Jinap S.; Azmir J.; Sharif K.M.; Mohd Omar A.K.,Journal of Food Engineering
2011,148,10.1016/j.foodchem.2011.02.071,"Antioxidant and antilisterial activity of olive oil, cocoa and rosemary extract polyphenols",Bubonja-Sonje M.; Giacometti J.; Abram M.,Food Chemistry
