Year,Cited by,DOI,Title,Authors,Source title
2012,853,10.1038/nature11145,International trade drives biodiversity threats in developing nations,Lenzen M.; Moran D.; Kanemoto K.; Foran B.; Lobefaro L.; Geschke A.,Nature
2012,711,10.1016/j.resconrec.2012.06.005,Sustainable management of coffee industry by-products and value addition - A review,Murthy P.S.; Madhava Naidu M.,"Resources, Conservation and Recycling"
2011,518,10.1111/j.1365-2664.2010.01939.x,Multifunctional shade-tree management in tropical agroforestry landscapes - A review,Tscharntke T.; Clough Y.; Bhagwat S.A.; Buchori D.; Faust H.; Hertel D.; Hölscher D.; Juhrbandt J.; Kessler M.; Perfecto I.; Scherber C.; Schroth G.; Veldkamp E.; Wanger T.C.,Journal of Applied Ecology
2011,424,10.1016/S0140-6736(10)62296-9,Public health importance of triggers of myocardial infarction: A comparative risk assessment,Nawrot T.S.; Perez L.; Künzli N.; Munters E.; Nemery B.,The Lancet
2001,376,10.1890/1051-0761(2001)011[0001:CBUOHD]2.0.CO;2,Countryside biogeography: Use of human-dominated habitats by the avifauna of southern Costa Rica,Daily G.C.; Ehrlich P.R.; Sánchez-Azofeifa G.A.,Ecological Applications
2012,326,10.1177/0170840612443629,The Emergence of a Standards Market: Multiplicity of Sustainability Standards in the Global Coffee Industry,Reinecke J.; Manning S.; von Hagen O.,Organization Studies
2000,275,10.1017/s0007485300000584,"A review of the biology and control of the coffee berry borer, Hypothenemus hampei (Coleoptera: Scolytidae)",Damon A.,Bulletin of Entomological Research
2020,266,10.1007/s10668-018-0200-5,"Biomass pyrolysis: past, present, and future",Fahmy T.Y.A.; Fahmy Y.; Mobarak F.; El-Sakhawy M.; Abou-Zeid R.E.,"Environment, Development and Sustainability"
2007,256,10.1007/s10460-006-9047-8,Regulating sustainability in the coffee sector: A comparative analysis of third-party environmental and social certification initiatives,Raynolds L.T.; Murray D.; Heller A.,Agriculture and Human Values
2014,254,10.1093/biosci/biu038,Shade coffee: Update on a disappearing refuge for biodiversity,Jha S.; Bacon C.M.; Philpott S.M.; MÉndez V.E.; LÄderach P.; Rice R.A.,BioScience
