Year,Cited by,DOI,Title,Authors,Source title
2008,874,10.1039/b712863k,γ-Valerolactone—a sustainable liquid for energy and carbon-based chemicals,Horváth I.T.; Mehdi H.; Fábos V.; Boda L.; Mika L.T.,Green Chemistry
1993,419,10.1021/cr00019a010,New Developments in the Coordination Chemistry of Inorganic Selenide and Telluride Ligands,Roof L.C.; Kolis J.W.,Chemical Reviews
2012,306,10.1194/jlr.R021436,Biogenesis and functions of lipid droplets in plants: Thematic review series: Lipid droplet synthesis and metabolism: From yeast to man,Chapman K.D.; Dyer J.M.; Mullen R.T.,Journal of Lipid Research
2012,306,10.1371/journal.pone.0033055,Expression patterns of genes involved in sugar metabolism and accumulation during apple fruit development,Li M.; Feng F.; Cheng L.,PLoS ONE
2015,252,10.1016/j.biortech.2015.02.035,Development and characterization of activated hydrochars from orange peels as potential adsorbents for emerging organic contaminants,Fernandez M.E.; Ledesma B.; Román S.; Bonelli P.R.; Cukierman A.L.,Bioresource Technology
2001,212,10.1248/bpb.24.820,Antitumor β-glucan from the cultured fruit body of Agaricus blazei,Ohno N.; Furukawa M.; Miura N.N.; Adachi Y.; Motoi M.; Yadomae T.,Biological and Pharmaceutical Bulletin
2009,200,10.1093/jxb/erp055,Carbon metabolism of peach fruit after harvest: Changes in enzymes involved in organic acid and sugar level modifications,Borsani J.; Budde C.O.; Porrini L.; Lauxmann M.A.; Lombardo V.A.; Murray R.; Andreo C.S.; Drincovich M.F.; Lara M.V.,Journal of Experimental Botany
2004,174,10.1016/j.carres.2004.02.005,Structural features of pectic polysaccharides from the skin of Opuntia ficus-indica prickly pear fruits,Habibi Y.; Heyraud A.; Mahrouz M.; Vignon M.R.,Carbohydrate Research
1992,149,10.1104/pp.98.3.1163,"Sucrose synthase in wild tomato, lycopersicon chmielewskii, and tomato fruit sink strength",Sun J.; Loboda T.; Sung S.-J.S.; Black Jr. C.C.,Plant Physiology
1957,133,10.1111/j.1469-185X.1957.tb01576.x,THE EXPERIMENTAL MODIFICATION OF SEX EXPRESSION IN FLOWERING PLANTS,HESLOP‐HARRISON J.,Biological Reviews
