Year,Cited by,DOI,Title,Authors,Source title
2014,1163,10.1016/j.anifeedsci.2014.07.008,State-of-the-art on use of insects as animal feed,Makkar H.P.S.; Tran G.; Heuzé V.; Ankers P.,Animal Feed Science and Technology
2015,601,10.1371/journal.pone.0144601,"Feed conversion, survival and development, and composition of four insect species on diets composed of food by-products",Oonincx D.G.A.B.; Van Broekhoven S.; Van Huis A.; Van Loon J.J.A.,PLoS ONE
2004,593,10.1093/ps/83.6.889,Effect of heat stress on production parameters and immune responses of commercial laying hens,Mashaly M.M.; Hendricks III G.L.; Kalama M.A.; Gehad A.E.; Abbas A.O.; Patterson P.H.,Poultry Science
2004,426,10.1128/AEM.70.12.7046-7052.2004,Diagnostic real-time PCR for detection of Salmonella in food,Malorny B.; Paccassoni E.; Fach P.; Bunge C.; Martin A.; Helmuth R.,Applied and Environmental Microbiology
2009,419,10.3945/ajcn.2009.26736AA,Potential contributions of food consumption patterns to climate change,Carlsson-Kanyama A.; González A.D.,American Journal of Clinical Nutrition
1998,406,10.1006/jaer.1998.0275,Concentrations and emissions of ammonia in livestock buildings in Northern Europe,Groot Koerkamp P.W.G.; Metz J.H.M.; Uenk G.H.; Phillips V.R.; Holden M.R.; Sneath R.W.; Short J.L.; White R.P.; Hartung J.; Seedorf J.; Schröder M.; Linkert K.H.; Pedersen S.; Takai H.; Johnsen J.O.; Wathes C.M.,Journal of Agricultural and Engineering Research
2006,405,10.1079/WPS2005108,Welfare of broilers: A review,Bessei W.,World's Poultry Science Journal
2011,393,10.3382/ps.2010-00962,Hen welfare in different housing systems,Lay D.C.; Fulton R.M.; Hester P.Y.; Karcher D.M.; Kjaer J.B.; Mench J.A.; Mullens B.A.; Newberry R.C.; Nicol C.J.; O'Sullivan N.P.; Porter R.E.,Poultry Science
1994,372,10.1016/0960-8524(94)90102-3,A value added manure management system using the black soldier fly,Craig Sheppard D.; Larry Newton G.; Thompson S.A.; Savage S.,Bioresource Technology
1998,356,10.1093/ps/77.9.1259,"Growth Performance, Intestinal Microbial Populations, and Serum Cholesterol of Broilers Fed Diets Containing Lactobacillus Cultures",Jin L.Z.; Ho Y.W.; Abdullah N.; Jalaludin S.,Poultry Science
