Year,Cited by,DOI,Title,Authors,Source title
2005,978,10.1002/we.124,Beyond NIMBYism: Towards an integrated framework for understanding public perceptions of wind energy,Devine-Wright P.,Wind Energy
2004,950,10.1093/jxb/erh277,Breeding for high water-use efficiency,Condon A.G.; Richards R.A.; Rebetzke G.J.; Farquhar G.D.,Journal of Experimental Botany
2010,711,10.1016/j.trac.2010.05.006,Critical review of chemometric indicators commonly used for assessing the quality of the prediction of soil attributes by NIR spectroscopy,Bellon-Maurel V.; Fernandez-Ahumada E.; Palagos B.; Roger J.-M.; McBratney A.,TrAC - Trends in Analytical Chemistry
2015,688,10.1007/s13593-015-0285-2,Agroecology and the design of climate change-resilient farming systems,Altieri M.A.; Nicholls C.I.; Henao A.; Lana M.A.,Agronomy for Sustainable Development
2012,600,10.1016/j.jenvman.2012.08.018,Does organic farming reduce environmental impacts? - A meta-analysis of European research,Tuomisto H.L.; Hodge I.D.; Riordan P.; Macdonald D.W.,Journal of Environmental Management
2014,521,10.1016/j.agee.2013.08.009,Integrated crop-livestock systems: Strategies to achieve synergy between agricultural production and environmental quality,Lemaire G.; Franzluebbers A.; Carvalho P.C.D.F.; Dedieu B.,"Agriculture, Ecosystems and Environment"
2002,488,10.1016/S0929-1393(01)00187-1,"Organic and synthetic fertility amendments influence soil microbial, physical and chemical properties on organic and conventional farms",Bulluck III L.R.; Brosius M.; Evanylo G.K.; Ristaino J.B.,Applied Soil Ecology
2008,439,10.1016/j.soilbio.2008.05.007,"Long-term organic farming fosters below and aboveground biota: Implications for soil quality, biological control and productivity",Birkhofer K.; Bezemer T.M.; Bloem J.; Bonkowski M.; Christensen S.; Dubois D.; Ekelund F.; Fließbach A.; Gunst L.; Hedlund K.; Mäder P.; Mikola J.; Robin C.; Setälä H.; Tatin-Froux F.; Van der Putten W.H.; Scheu S.,Soil Biology and Biochemistry
2018,413,10.1073/pnas.1700298114,Plant diversity enhances productivity and soil carbon storage,Chen S.; Wang W.; Xu W.; Wang Y.; Wan H.; Chen D.; Tang Z.; Tang X.; Zhou G.; Xie Z.; Zhou D.; Shangguan Z.; Huang J.; He J.-S.; Wang Y.; Sheng J.; Tang L.; Li X.; Dong M.; Wu Y.; Wang Q.; Wang Z.; Wu J.; Stuart Chapin F.; Bai Y.,Proceedings of the National Academy of Sciences of the United States of America
2005,398,10.1007/s10811-005-8701-7,Utilization of flue gas for cultivation of microalgae (Chlorella sp.) in an outdoor open thin-layer photobioreactor,Doucha J.; Straka F.; Lívanský K.,Journal of Applied Phycology
