Year,Cited by,DOI,Title,Authors,Source title
2018,420,10.1016/j.compag.2018.09.040,An IoT based smart irrigation management system using Machine learning and open source technologies,Goap A.; Sharma D.; Shukla A.K.; Rama Krishna C.,Computers and Electronics in Agriculture
2017,348,,Deep Gaussian process for crop yield prediction based on remote sensing data,You J.; Li X.; Low M.; Lobell D.; Ermon S.,"31st AAAI Conference on Artificial Intelligence, AAAI 2017"
2010,227,10.3390/rs2061589,Monitoring Global Croplands with Coarse Resolution Earth Observations: The Global Agriculture Monitoring (GLAM) Project,Becker-Reshef I.; Justice C.; Sullivan M.; Vermote E.; Tucker C.; Anyamba A.; Small J.; Pak E.; Masuoka E.; Schmaltz J.; Hansen M.; Pittman K.; Birkett C.; Williams D.; Reynolds C.; Doorn B.,Remote Sensing
2019,215,10.1016/j.scitotenv.2019.02.004,Combined life cycle assessment and artificial intelligence for prediction of output energy and environmental impacts of sugarcane production,Kaab A.; Sharifi M.; Mobli H.; Nabavi-Pelesaraei A.; Chau K.-W.,Science of the Total Environment
2016,185,10.1016/j.geoderma.2016.03.025,POLARIS: A 30-meter probabilistic soil series map of the contiguous United States,Chaney N.W.; Wood E.F.; McBratney A.B.; Hempel J.W.; Nauman T.W.; Brungard C.W.; Odgers N.P.,Geoderma
2013,175,10.1109/CSE.2013.126,Agricultural production system based on IoT,Lee M.; Hwang J.; Yoe H.,"Proceedings - 16th IEEE International Conference on Computational Science and Engineering, CSE 2013"
2006,137,10.1186/1471-2105-7-485,Machine learning techniques in disease forecasting: A case study on rice blast prediction,Kaundal R.; Kapoor A.A.; Raghava G.P.S.,BMC Bioinformatics
2018,133,10.1109/JSTARS.2018.2823361,Machine Learning Regression Techniques for the Silage Maize Yield Prediction Using Time-Series Images of Landsat 8 OLI,Aghighi H.; Azadbakht M.; Ashourloo D.; Shahrabi H.S.; Radiom S.,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing
2021,127,10.1155/2021/5584754,Artificial Intelligence to Improve the Food and Agriculture Sector,Ben Ayed R.; Hanana M.,Journal of Food Quality
2012,127,10.1016/j.measurement.2012.03.025,Application of ANFIS to predict crop yield based on different energy inputs,Naderloo L.; Alimardani R.; Omid M.; Sarmadian F.; Javadikia P.; Torabi M.Y.; Alimardani F.,Measurement: Journal of the International Measurement Confederation
