Year,Cited by,DOI,Title,Authors,Source title
2019,224,10.1016/j.apcatb.2018.12.075,Electrochemical catalytic mechanism of N-doped graphene for enhanced H2O2 yield and in-situ degradation of organic pollutant,Su P.; Zhou M.; Lu X.; Yang W.; Ren G.; Cai J.,Applied Catalysis B: Environmental
2009,161,10.1016/j.biombioe.2009.06.005,"Environmental factors in woodfuel production: Opportunities, risks, and criteria and indicators for sustainable practices",Lattimore B.; Smith C.T.; Titus B.D.; Stupak I.; Egnell G.,Biomass and Bioenergy
2022,135,10.1016/j.jclepro.2022.132061,Can green credit policy promote low-carbon technology innovation?,Chen Z.; Zhang Y.; Wang H.; Ouyang X.; Xie Y.,Journal of Cleaner Production
2020,64,10.1088/1748-9326/aba134,Cities as carbon sinks - Classification of wooden buildings,Amiri A.; Ottelin J.; Sorvari J.; Junnila S.,Environmental Research Letters
2009,58,10.1016/j.sab.2009.07.013,Vacuum ultraviolet laser-induced breakdown spectroscopy analysis of polymers,Jasik J.; Heitz J.; Pedarnig J.D.; Veis P.,Spectrochimica Acta - Part B Atomic Spectroscopy
2018,54,10.1016/j.jclepro.2018.03.226,The world's first carbon neutral coffee: Lessons on certification and innovation from a pioneer case in Costa Rica,Birkenberg A.; Birner R.,Journal of Cleaner Production
2002,53,10.1016/S1570-0232(02)00343-4,"Fast automated extraction and clean-up of biological fluids for polychlorinated dibenzo-p-dioxins, dibenzofurans and coplanar polychlorinated biphenyls analysis",Focant J.-F.; De Pauw E.,Journal of Chromatography B: Analytical Technologies in the Biomedical and Life Sciences
2020,50,10.1016/j.jclepro.2020.122081,"Embodied, operation, and commuting emissions: A case study comparing the carbon hotspots of an educational building",Fenner A.E.; Kibert C.J.; Li J.; Razkenari M.A.; Hakim H.; Lu X.; Kouhirostami M.; Sam M.,Journal of Cleaner Production
2021,48,10.1016/j.jclepro.2020.123621,The potential of carbon neutral labeling to engage coffee consumers in climate change mitigation,Birkenberg A.; Narjes M.E.; Weinmann B.; Birner R.,Journal of Cleaner Production
2015,46,10.1038/nclimate2515,Carbon emissions due to deforestation for the production of charcoal used in Brazil's steel industry,Sonter L.J.; Barrett D.J.; Moran C.J.; Soares-Filho B.S.,Nature Climate Change
