Year,Cited by,DOI,Title,Authors,Source title
2018,320,10.25165/ijabe.v11i4.4278,Research and development in agricultural robotics: A perspective of digital farming,Shamshiri R.R.; Weltzien C.; Hameed I.A.; Yule I.J.; Grift T.E.; Balasundram S.K.; Pitonakova L.; Ahmad D.; Chowdhary G.,International Journal of Agricultural and Biological Engineering
2021,216,10.1016/j.compag.2020.105895,A survey on the 5G network and its impact on agriculture: Challenges and opportunities,Tang Y.; Dananjayan S.; Hou C.; Guo Q.; Luo S.; He Y.,Computers and Electronics in Agriculture
2020,198,10.1016/j.wasman.2020.07.050,Rethinking organic wastes bioconversion: Evaluating the potential of the black soldier fly (Hermetia illucens (L.)) (Diptera: Stratiomyidae) (BSF),Surendra K.C.; Tomberlin J.K.; van Huis A.; Cammack J.A.; Heckmann L.-H.L.; Khanal S.K.,Waste Management
2021,155,10.1016/j.techsoc.2021.101741,"Artificial intelligence, systemic risks, and sustainability",Galaz V.; Centeno M.A.; Callahan P.W.; Causevic A.; Patterson T.; Brass I.; Baum S.; Farber D.; Fischer J.; Garcia D.; McPhearson T.; Jimenez D.; King B.; Larcey P.; Levy K.,Technology in Society
2018,117,10.1016/j.compag.2017.12.001,Data synthesis methods for semantic segmentation in agriculture: A Capsicum annuum dataset,Barth R.; IJsselmuiden J.; Hemming J.; Henten E.J.V.,Computers and Electronics in Agriculture
2015,113,10.1016/j.biotechadv.2015.04.010,Extraction and downstream processing of plant-derived recombinant proteins,Buyel J.F.; Twyman R.M.; Fischer R.,Biotechnology Advances
2020,109,10.1016/j.compag.2020.105216,Agricultural robotics research applicable to poultry production: A review,Ren G.; Lin T.; Ying Y.; Chowdhary G.; Ting K.C.,Computers and Electronics in Agriculture
2020,103,10.1002/adma.202002936,A Moisture-Hungry Copper Complex Harvesting Air Moisture for Potable Water and Autonomous Urban Agriculture,Yang J.; Zhang X.; Qu H.; Yu Z.G.; Zhang Y.; Eey T.J.; Zhang Y.-W.; Tan S.C.,Advanced Materials
2014,102,10.1016/j.biosystemseng.2014.07.009,Co-robotic intra-row weed control system,Pérez-Ruíz M.; Slaughter D.C.; Fathallah F.A.; Gliever C.J.; Miller B.J.,Biosystems Engineering
2020,98,10.1109/ICOS50156.2020.9293672,IoT Applications in Smart Agriculture: Issues and Challenges,Kassim M.R.M.,"2020 IEEE Conference on Open Systems, ICOS 2020"
