Year,Cited by,DOI,Title,Authors,Source title
2017,1335,10.1016/j.scitotenv.2016.10.081,"Ozone pollution in China: A review of concentrations, meteorological influences, chemical precursors, and effects",Wang T.; Xue L.; Brimblecombe P.; Lam Y.F.; Li L.; Zhang L.,Science of the Total Environment
2015,868,10.1016/j.envint.2014.12.010,Impacts of soil and water pollution on food safety and health risks in China,Lu Y.; Song S.; Wang R.; Liu Z.; Meng J.; Sweetman A.J.; Jenkins A.; Ferrier R.C.; Li H.; Luo W.; Wang T.,Environment International
2021,533,10.1016/j.chemosphere.2020.129205,"Soil heavy metal pollution and food safety in China: Effects, sources and removing technology",Qin G.; Niu Z.; Yu J.; Li Z.; Ma J.; Xiang P.,Chemosphere
2015,496,10.1007/s11051-015-2907-7,A review of the use of engineered nanomaterials to suppress plant disease and enhance crop yield,Servin A.; Elmer W.; Mukherjee A.; De la Torre-Roche R.; Hamdi H.; White J.C.; Bindraban P.; Dimkpa C.,Journal of Nanoparticle Research
2020,485,10.3390/rs12193136,Applications of remote sensing in precision agriculture: A review,Sishodia R.P.; Ray R.L.; Singh S.K.,Remote Sensing
2020,479,10.3390/RS12162659,Recent advances of hyperspectral imaging technology and applications in agriculture,Lu B.; Dao P.D.; Liu J.; He Y.; Shang J.,Remote Sensing
2020,442,10.1016/j.aiia.2020.04.002,Implementation of artificial intelligence in agriculture for optimisation of irrigation and application of pesticides and herbicides,Talaviya T.; Shah D.; Patel N.; Yagnik H.; Shah M.,Artificial Intelligence in Agriculture
2015,372,10.1016/j.envint.2014.10.026,The use of constructed wetlands for removal of pesticides from agricultural runoff and drainage: A review,Vymazal J.; Březinová T.,Environment International
2019,336,10.1016/j.biosystemseng.2018.10.014,Smart farming IoT platform based on edge and cloud computing,Zamora-Izquierdo M.A.; Santa J.; Martínez J.A.; Martínez V.; Skarmeta A.F.,Biosystems Engineering
2017,320,10.3389/feart.2017.00017,Exploring Google earth engine platform for big data processing: Classification of multi-temporal satellite imagery for crop mapping,Shelestov A.; Lavreniuk M.; Kussul N.; Novikov A.; Skakun S.,Frontiers in Earth Science
