Year,Cited by,DOI,Title,Authors,Source title
2009,794,10.1051/agro/2009004,"Agroecology as a science, a movement and a practice. A review",Wezel A.; Bellon S.; Doré T.; Francis C.; Vallod D.; David C.,Agronomy for Sustainable Development
2017,517,10.1016/j.pecs.2017.04.001,Progress in biofuel production from gasification,Sikarwar V.S.; Zhao M.; Fennell P.S.; Shah N.; Anthony E.J.,Progress in Energy and Combustion Science
2012,506,10.4324/9780203804520,"Alternative food networks: Knowledge, practice, and politics",Goodman D.; DuPuis E.M.; Goodman M.K.,"Alternative Food Networks: Knowledge, Practice, and Politics"
2002,500,10.1108/00070700210425723,Consumer perception of organic food production and farm animal welfare,Harper G.C.; Makatouni A.,British Food Journal
2003,442,10.1023/A:1024214812527,"Ethanol fuels: Energy balance, economics, and environmental impacts are negative",Pimentel D.,Natural Resources Research
2017,433,10.1016/j.nbt.2016.05.001,Producing microbial polyhydroxyalkanoate (PHA) biopolyesters in a sustainable manner,Koller M.; Maršálek L.; de Sousa Dias M.M.; Braunegg G.,New Biotechnology
2004,415,10.1016/j.polgeo.2004.05.013,Reading fair trade: Political ecological imaginary and the moral economy of fair trade foods,Goodman M.K.,Political Geography
2001,326,10.1016/S0039-6257(01)00211-9,The Draize eye test.,Wilhelmus K.R.,Survey of ophthalmology
2014,318,10.1098/rstb.2013.0569,Medicating the environment: Assessing risks of pharmaceuticals to wildlife and ecosystems,Arnold K.E.; Brown A.R.; Ankley G.T.; Sumpter J.P.,Philosophical Transactions of the Royal Society B: Biological Sciences
2009,297,10.1007/s10745-009-9215-8,Food versus biofuels: Environmental and economic costs,Pimentel D.; Marklein A.; Toth M.A.; Karpoff M.N.; Paul G.S.; McCormack R.; Kyriazis J.; Krueger T.,Human Ecology
