Year,Cited by,DOI,Title,Authors,Source title
2005,194,10.1109/IROS.2005.1544998,Combined optic-flow and stereo-based navigation of urban canyons for a UAV,Hrabar S.; Sukhatme G.S.; Corke P.; Usher K.; Roberts J.,"2005 IEEE/RSJ International Conference on Intelligent Robots and Systems, IROS"
2016,193,10.1109/TMECH.2015.2492984,Robust trajectory tracking error model-based predictive control for unmanned ground vehicles,Kayacan E.; Ramon H.; Saeys W.,IEEE/ASME Transactions on Mechatronics
2006,184,10.1016/j.compag.2006.06.001,Development of machine vision and laser radar based autonomous vehicle guidance systems for citrus grove navigation,Subramanian V.; Burks T.F.; Arroyo A.A.,Computers and Electronics in Agriculture
2007,173,10.1016/j.biosystemseng.2006.10.012,Development of an Autonomous Navigation System using a Two-dimensional Laser Scanner in an Orchard Application,Barawid Jr. O.C.; Mizushima A.; Ishii K.; Noguchi N.,Biosystems Engineering
2005,173,10.1016/j.biosystemseng.2004.12.008,A stereovision-based crop row detection method for tractor-automated guidance,Kise M.; Zhang Q.; Rovira Más F.,Biosystems Engineering
2004,139,10.1109/TRA.2003.820928,Path-tracking of a tractor-trailer vehicle along rectilinear and circular paths: A Lyapunov-based approach,Astolfi A.; Bolzern P.; Locatelli A.,IEEE Transactions on Robotics and Automation
2008,129,10.1016/j.biosystemseng.2008.09.007,The development and assessment of the accuracy of an autonomous GPS-based system for intra-row mechanical weed control in row crops,Nørremark M.; Griepentrog H.W.; Nielsen J.; Søgaard H.T.,Biosystems Engineering
2000,125,10.1016/S0168-1699(99)00060-5,Research in autonomous agriculture vehicles in Japan,Torii T.,Computers and Electronics in Agriculture
2014,122,10.1109/TRO.2014.2304774,Cooperative visibility maintenance for leader-follower formations in obstacle environments,Panagou D.; Kumar V.,IEEE Transactions on Robotics
2000,120,10.1109/70.897793,Robotic melon harvesting,Edan Y.; Rogozin D.; Flash T.; Miles G.E.,IEEE Transactions on Robotics and Automation
