Year,Cited by,DOI,Title,Authors,Source title
2008,1011,10.1146/annurev.arplant.59.032607.092734,Plant aquaporins: Membrane channels with multiple integrated functions,Maure C.; Verdoucq L.; Luu D.-T.; Santoni V.,Annual Review of Plant Biology
2000,523,10.2174/1389203003381405,"Alpha/Beta-Hydrolase Fold Enzymes: Structures, Functions and Mechanisms",Holmquist M.,Current Protein and Peptide Science
2006,364,10.1094/MPMI-19-0250,"Organic acids, sugars, and L-tryptophane in exudates of vegetables growing on stonewool and their effects on activities of rhizosphere bacteria",Kamilova F.; Kravchenko L.V.; Shaposhnikov A.I.; Azarova T.; Makarova N.; Lugtenberg B.,Molecular Plant-Microbe Interactions
2009,310,10.1016/j.fuel.2009.02.016,"Process optimization for biodiesel production from Jatropha, Karanja and Polanga oils",Sahoo P.K.; Das L.M.,Fuel
2012,305,10.1194/jlr.R021436,Biogenesis and functions of lipid droplets in plants: Thematic review series: Lipid droplet synthesis and metabolism: From yeast to man,Chapman K.D.; Dyer J.M.; Mullen R.T.,Journal of Lipid Research
1998,224,10.1094/CCHEM.1998.75.4.484,Silica gel from rice hull ash: Preparation and characterization,Kamath S.R.; Proctor A.,Cereal Chemistry
2018,223,10.1080/17597269.2017.1336350,"A review of production, properties and advantages of biodiesel",Mishra V.K.; Goswami R.,Biofuels
2007,223,10.1002/mabi.200600223,Bio-refinery as the bio-inspired process to bulk chemicals,Sanders J.; Scott E.; Weusthuis R.; Mooibroek H.,Macromolecular Bioscience
2009,197,10.1093/jxb/erp055,Carbon metabolism of peach fruit after harvest: Changes in enzymes involved in organic acid and sugar level modifications,Borsani J.; Budde C.O.; Porrini L.; Lauxmann M.A.; Lombardo V.A.; Murray R.; Andreo C.S.; Drincovich M.F.; Lara M.V.,Journal of Experimental Botany
2011,188,10.1016/j.biortech.2011.08.025,Single cell oil production from rice hulls hydrolysate,Economou C.N.; Aggelis G.; Pavlou S.; Vayenas D.V.,Bioresource Technology
