Year,Cited by,DOI,Title,Authors,Source title
2005,795,10.1016/j.envint.2004.09.005,World crop residues production and implications of its use as a biofuel,Lal R.,Environment International
1998,458,10.1016/S0308-521X(97)00028-0,APSIM's water and nitrogen modules and simulation of the dynamics of water and nitrogen in fallow systems,Probert M.E.; Dimes J.P.; Keating B.A.; Dalal R.C.; Strong W.M.,Agricultural Systems
2005,241,10.1016/j.still.2004.05.003,Soil C and N stocks as affected by cropping systems and nitrogen fertilisation in a southern Brazil Acrisol managed under no-tillage for 17 years,Diekow J.; Mielniczuk J.; Knicker H.; Bayer C.; Dick D.P.; Kögel-Knabner I.,Soil and Tillage Research
2010,219,10.1111/j.1365-2486.2009.02020.x,Carbon accumulation at depth in Ferralsols under zero-till subtropical agriculture,Boddey R.M.; Jantalia C.P.; Conceiçao P.C.; Zanatta J.A.; Bayer C.; Mielniczuk J.; Dieckow J.; Dos Santos H.P.; Denardin J.E.; Aita C.; Giacomini S.J.; Alves B.J.R.; Urquiaga S.,Global Change Biology
2018,209,10.1016/j.geoderma.2018.04.031,No-till and cropping system diversification improve soil health and crop yield,Nunes M.R.; van Es H.M.; Schindelbeck R.; Ristow A.J.; Ryan M.,Geoderma
2011,187,10.2136/sssaj2009.0414,Agricultural management and soil carbon storage in surface vs. deep layers,Syswerda S.P.; Corbin A.T.; Mokma D.L.; Kravchenko A.N.; Robertson G.P.,Soil Science Society of America Journal
2011,183,10.1016/j.fcr.2011.03.020,Lowering carbon footprint of durum wheat by diversifying cropping systems,Gan Y.; Liang C.; Wang X.; McConkey B.,Field Crops Research
2006,162,10.1007/s10681-006-4723-8,Screening techniques and sources of resistance to abiotic stresses in cool-season food legumes,Stoddard F.L.; Balko C.; Erskine W.; Khan H.R.; Link W.; Sarker A.,Euphytica
1993,154,10.1093/jxb/44.8.1351,Carbohydrate metabolism in drought-stressed leaves of pigeonpea (Cajanus cajan),Keller F.; Ludlow M.M.,Journal of Experimental Botany
2016,153,10.1016/j.still.2016.04.001,"Long term effect of conservation agriculture in maize rotations on total organic carbon, physical and biological properties of a sandy loam soil in north-western Indo-Gangetic Plains",Parihar C.M.; Yadav M.R.; Jat S.L.; Singh A.K.; Kumar B.; Pradhan S.; Chakraborty D.; Jat M.L.; Jat R.K.; Saharawat Y.S.; Yadav O.P.,Soil and Tillage Research
