Categorías,Total,Todos los años
Ingeniería mecánica/Transporte,15,"[1, 0, 1, 1, 1, 0, 3, 2, 4, 2, 0, 0]"
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",8,"[0, 0, 0, 0, 0, 0, 3, 3, 0, 2, 0, 0]"
"Química/Tecnología de superficies, recubrimiento",3,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0]"
Ingeniería eléctrica/Tecnología informática,3,"[0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0]"
Instrumentos/Medición,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1]"
Instrumentos/Óptica,3,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
Ingeniería mecánica/Máquinas herramientas,3,"[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Ingeniería mecánica/Otras máquinas especiales,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
"Química/Materiales, metalurgia",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
Métodos de ingeniería eléctrica/TI para la gestión,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
Ingeniería mecánica/Elementos mecánicos,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
