Categorías,Total,Todos los años
Ingeniería mecánica/Transporte,3412,"[1, 1, 3, 3, 2, 2, 5, 33, 101, 147, 192, 331, 1009, 1101, 481]"
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",1815,"[0, 0, 3, 3, 1, 0, 3, 23, 64, 83, 112, 196, 533, 580, 214]"
Métodos de ingeniería eléctrica/TI para la gestión,479,"[0, 0, 0, 0, 1, 1, 0, 2, 1, 9, 23, 32, 134, 159, 117]"
Instrumentos/Medición,421,"[0, 1, 0, 1, 0, 0, 0, 3, 13, 15, 23, 43, 113, 126, 83]"
Ingeniería eléctrica/Tecnología informática,356,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 8, 25, 29, 57, 116, 118]"
Ingeniería mecánica/Elementos mecánicos,183,"[0, 0, 0, 0, 0, 0, 0, 1, 8, 8, 8, 16, 66, 57, 19]"
Instrumentos/Control,177,"[0, 0, 0, 1, 0, 0, 1, 4, 1, 6, 8, 19, 57, 49, 31]"
Ingeniería eléctrica/Tecnología audiovisual,107,"[0, 0, 0, 0, 0, 1, 1, 4, 3, 5, 10, 8, 29, 39, 7]"
Ingeniería eléctrica/Comunicación digital,104,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 10, 7, 36, 40, 6]"
Química/Tecnología ambiental,102,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4, 41, 37, 18]"
Ingeniería mecánica/Manipulación,81,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 0, 7, 27, 27, 15]"
Otros campos/Ingeniería civil,77,"[0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 2, 2, 40, 23, 5]"
"Ingeniería mecánica/Motores, bombas, turbinas",74,"[1, 0, 0, 1, 0, 0, 0, 1, 3, 2, 2, 13, 24, 21, 6]"
Ingeniería mecánica/Máquinas herramientas,51,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 7, 10, 14, 16]"
Ingeniería mecánica/Procesos y aparatos térmicos,42,"[0, 0, 0, 0, 0, 0, 0, 2, 1, 3, 0, 4, 22, 7, 3]"
Química/Ingeniería química,41,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 6, 20, 11]"
Ingeniería eléctrica/Semiconductores,36,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 6, 24, 2]"
Química/Química de materiales básicos ,33,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 3, 21, 4, 2]"
Ingeniería eléctrica/Procesos básicos de comunicación,32,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 26, 3]"
Ingeniería eléctrica/Telecomunicaciones,19,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 3, 3, 7, 3]"
"Química/Tecnología de superficies, recubrimiento",19,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 11, 3, 3]"
Ingeniería mecánica/Otras máquinas especiales,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 3]"
Otros campos/Otros bienes de consumo,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 3, 6, 4]"
"Química/Materiales, metalurgia",15,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 9, 0, 4]"
"Química/Química macromolecular, polímeros",15,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 6, 0]"
"Otros campos/Mobiliario, juegos",7,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 2, 1]"
Instrumentos/Tecnología médica,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 0]"
Instrumentos/Óptica,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
Ingeniería mecánica/Máquinas textiles y papeleras,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Química/Química orgánica fina,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Instrumentos/Análisis de materiales biológicos,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
