Categorías,Total,Todos los años
Ingeniería mecánica/Transporte,2831,"[1, 3, 7, 10, 11, 16, 17, 10, 10, 12, 13, 31, 9, 6, 12, 17, 35, 24, 39, 13, 22, 18, 5, 18, 26, 23, 30, 34, 38, 80, 57, 87, 105, 170, 81, 97, 74, 72, 45, 35, 67, 62, 33, 54, 53, 66, 35, 39, 27, 55, 58, 61, 55, 86, 131, 114, 73, 103, 88, 63, 46, 40, 9]"
Instrumentos/Control,386,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 1, 1, 0, 0, 0, 1, 4, 0, 1, 0, 0, 2, 4, 1, 1, 1, 5, 2, 3, 2, 8, 26, 10, 11, 9, 20, 4, 4, 10, 6, 4, 18, 24, 21, 7, 11, 4, 14, 4, 10, 9, 17, 14, 16, 11, 9, 20, 11, 11, 7, 2]"
Otros campos/Ingeniería civil,341,"[0, 0, 1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 16, 4, 1, 3, 0, 2, 2, 5, 4, 3, 8, 43, 5, 9, 7, 16, 13, 6, 11, 2, 4, 0, 5, 5, 8, 11, 13, 15, 5, 8, 5, 7, 10, 9, 5, 2, 10, 7, 9, 8, 13, 5, 4, 2, 0]"
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",121,"[0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 4, 6, 0, 2, 1, 1, 0, 4, 16, 0, 2, 3, 0, 0, 0, 0, 2, 7, 0, 0, 1, 3, 3, 1, 2, 6, 7, 0, 3, 2, 1, 1, 0, 4, 1, 4, 0, 1, 0, 4, 1, 4, 0, 5, 0, 4, 2, 1, 6, 0, 3, 0, 0]"
Ingeniería eléctrica/Telecomunicaciones,107,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 1, 0, 2, 6, 1, 4, 2, 1, 2, 3, 2, 6, 7, 16, 7, 2, 4, 8, 2, 2, 1, 2, 0, 3, 8, 4, 3, 3, 1, 0, 0, 0]"
Ingeniería eléctrica/Comunicación digital,83,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 4, 2, 0, 5, 2, 2, 2, 1, 3, 5, 4, 11, 3, 9, 10, 4, 8, 1, 1]"
Ingeniería eléctrica/Tecnología informática,78,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 0, 0, 0, 0, 0, 0, 7, 1, 4, 0, 4, 4, 0, 1, 1, 1, 2, 7, 5, 5, 6, 10, 4, 5, 5, 0]"
Ingeniería mecánica/Elementos mecánicos,50,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 12, 0, 1, 3, 1, 1, 0, 2, 0, 0, 1, 2, 0, 1, 2, 0, 1, 2, 2, 0, 1, 1, 0, 1, 2, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 3, 1, 0, 0, 3, 0, 0, 0, 0]"
Instrumentos/Medición,49,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 8, 0, 1, 0, 0, 1, 0, 0, 1, 0, 2, 1, 0, 0, 1, 4, 1, 3, 7, 5, 2, 5, 1, 0]"
"Ingeniería mecánica/Motores, bombas, turbinas",49,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 4, 2, 7, 2, 2, 3, 0, 2, 2, 3, 3, 0, 1, 1, 0, 0, 0, 1, 2, 0, 3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
