Categorías,Total,Todos los años
Ingeniería mecánica/Manipulación,12,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1, 6, 0]"
Ingeniería mecánica/Transporte,10,"[0, 0, 3, 0, 1, 0, 1, 0, 2, 0, 0, 2, 1]"
Ingeniería mecánica/Máquinas herramientas,5,"[0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
Otros campos/Ingeniería civil,4,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0]"
"Otros campos/Mobiliario, juegos",3,"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
"Ingeniería eléctrica/Maquinaria eléctrica, aparatos, energía",2,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
Ingeniería mecánica/Elementos mecánicos,2,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
Química/Ingeniería química,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"Química/Tecnología de superficies, recubrimiento",1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Ingeniería mecánica/Otras máquinas especiales,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
